V1,V2,V3,V4,V5,V6,V7,V8
6912.8354,6886.57,6828.6797,6845.8896,6895.7754,6859.555,6872.4287,6907.4966
7145.241,7157.0244,7112.2334,7084.9146,7108.332,7127.346,7169.69,7135.0713
7224.6816,7244.436,7202.9287,7196.2783,7213.1934,7201.997,7248.874,7213.798
7772.0356,7803.205,7752.592,7721.6543,7749.073,7788.765,7793.211,7758.387
1025.9491,988.8614,1138.3372,1302.0848,1037.752,1004.92456,1167.3469,1294.6833
9876.628,9872.633,9921.044,9962.144,9946.906,9919.449,9960.164,9984.313
3346.415,3344.1238,3339.2651,3352.845,3360.695,3352.2905,3342.0132,3360.8848
2616.053,2608.2434,2627.4817,2644.5571,2634.495,2620.7588,2638.005,2652.0283
2500.1807,2494.528,2500.4846,2511.371,2510.0583,2500.1519,2504.1094,2513.887
2535.571,2533.037,2545.785,2550.2766,2532.383,2533.0356,2548.5225,2553.6611
1156.6825,1152.9915,1151.7803,1151.4418,1153.7677,1150.8843,1149.7848,1151.1024
3183.3396,3072.1526,3234.2185,3335.8022,3210.5798,3077.2449,3263.7935,3359.5823
1789.9669,1794.722,1802.3717,1807.6003,1815.5151,1813.7721,1817.9431,1817.9021
12673.166,12637.282,12658.524,12821.645,12873.66,12754.933,12790.917,12829.091
1230.4725,1232.4249,1295.4148,1313.3052,1232.8069,1238.917,1302.138,1315.4972
2081.7578,2090.0728,2169.8604,2174.93,2143.174,2135.653,2203.0315,2181.1538
2476.2388,2476.313,2470.481,2498.0708,2498.2925,2490.3462,2482.0984,2499.221
4711.186,4673.1094,4793.3115,4817.992,4711.794,4687.1104,4795.55,4801.003
5821.453,5848.3066,5881.8525,5921.352,5910.1445,5900.612,5933.4116,5938.248
6357.6426,6349.6973,6379.2837,6439.5713,6424.4395,6392.849,6401.91,6449.1914
9829.143,9829.397,9893.182,9970.904,9934.537,9896.408,9934.6455,9981.241
5037.871,5041.936,5166.7285,5234.264,5094.485,5083.706,5163.436,5187.63
5974.2715,5934.654,6035.5283,6062.664,5999.0864,5955.537,6048.368,6077.2095
2327.4739,2330.2678,2343.8582,2342.3804,2331.6726,2336.3135,2347.0183,2342.3926
1368.6182,1371.121,1375.6239,1372.7041,1368.5409,1373.0763,1377.4755,1368.8044
7679.8633,7481.157,7588.091,8632.2705,7443.524,7472.8813,7796.0103,8476.859
9143.758,9174.015,9187.073,9184.845,9191.871,9199.183,9179.355,9223.422
5021.3047,5045.545,4984.7607,5000.1147,5073.706,5076.525,5019.258,5020.4243
1906.8391,1897.447,1863.7277,1877.966,1911.6858,1889.9873,1856.4242,1886.4352
3106.0747,3113.7957,3084.564,3086.7302,3099.632,3095.9663,3082.957,3085.5588
2479.762,2486.5037,2480.098,2475.804,2477.2312,2486.3625,2485.1672,2474.3425
4702.941,4682.8857,4657.8457,4684.076,4743.854,4717.759,4683.2603,4742.7944
8310.631,8360.999,8333.2,8322.069,8372.609,8393.995,8369.704,8347.595
7206.449,7265.911,7251.494,7202.6587,7243.338,7277.2793,7276.9736,7224.461
10116.401,10275.319,10195.089,10059.576,10162.496,10319.397,10199.257,10089.4795
9074.753,9084.295,9062.991,9120.209,9149.22,9123.054,9096.49,9149.501
4452.1357,4442.3335,4406.8154,4465.0684,4459.781,4442.6704,4431.719,4470.538
6296.0107,6225.4795,6269.552,6350.5156,6315.0093,6255.0127,6281.1675,6279.879
5506.935,5638.4253,6057.2246,5917.7183,5544.825,5680.131,6066.383,5861.118
5254.459,5275.463,5265.3955,5268.413,5283.7827,5291.6675,5283.2847,5271.3613
1902.7819,1904.9391,1905.4948,1909.8513,1914.0669,1910.7117,1905.9954,1914.5947
2110.174,2107.702,2099.0437,2111.0098,2126.8657,2114.6843,2104.5781,2120.8562
5461.081,5479.265,5471.3125,5485.7593,5494.5273,5498.1636,5491.309,5482.032
1287.982,1292.9427,1280.7412,1283.2596,1298.2175,1298.5887,1284.0349,1287.4215
1915.6066,1917.7238,1917.6501,1919.3821,1926.3466,1922.2644,1918.1034,1927.4647
3341.289,3380.0364,3397.871,3371.0076,3360.4082,3395.0398,3392.4976,3395.98
9648.461,9693.309,9689.517,9691.412,9689.274,9721.625,9707.727,9682.563
1392.5826,1383.8132,1409.433,1428.1215,1405.4045,1387.4677,1411.9255,1424.3627
8959.562,9055.624,9000.779,8920.876,8995.683,9088.747,9078.149,8933.904
9358.031,9450.126,9372.086,9329.538,9375.463,9471.695,9456.802,9323.583
1497.802,1522.831,1496.1255,1454.6453,1516.5317,1535.046,1513.2168,1466.7316
5775.847,5803.1357,5797.4463,5789.8794,5785.8096,5811.899,5815.869,5795.5205
2632.1785,2667.627,2673.8403,2635.63,2666.3325,2687.3499,2671.0825,2654.0251
1653.02,1653.6058,1658.007,1663.0497,1661.0721,1658.0254,1661.3917,1665.3964
6928.765,6928.518,6901.4746,6932.3647,6958.282,6942.3623,6927.611,6938.91
2944.567,2970.2266,2979.1511,2945.2334,2963.1433,2982.3975,2978.7185,2961.6274
1476.6888,1484.8622,1477.0599,1477.8291,1488.0184,1490.8987,1482.8341,1481.0868
7299.1655,7368.339,7326.132,7277.91,7333.1523,7387.433,7313.755,7292.5723
9441.647,9548.05,9516.017,9399.244,9478.886,9585.702,9493.32,9421.066
1397.2382,1405.6528,1415.7832,1407.2555,1406.6904,1412.8036,1421.1958,1408.9076
2861.214,2876.477,2914.9812,2951.816,2926.1323,2915.1414,2952.8447,2953.5825
2117.1055,2110.8374,2124.911,2139.789,2124.8843,2135.0132,2129.1323,2141.3894
3025.0115,3071.8125,3119.4885,3180.811,3163.2275,3162.349,3210.4385,3200.4368
3288.1284,3292.895,3345.0625,3407.4768,3381.1064,3348.0713,3394.9644,3423.8582
4892.8926,4940.1685,5038.6367,5074.4233,5039.403,5043.1377,5097.956,5103.0723
6437.0435,6506.234,6587.8564,6646.718,6609.2334,6624.915,6685.787,6656.552
11079.061,11201.277,11294.286,11413.527,11367.485,11383.672,11481.043,11453.475
3272.5386,3317.6772,3336.5793,3304.0684,3316.3748,3349.0667,3354.915,3319.3696
1107.406,1106.4156,1096.7397,1100.0564,1099.8234,1105.0736,1101.6298,1095.3951
10763.977,10790.577,10821.949,10823.18,10812.737,10830.526,10856.211,10838.073
5073.0093,5026.6313,4812.0273,4868.6016,5060.56,5007.708,4867.176,4900.9956
3980.9512,3967.2346,3934.0693,4001.4792,4057.261,4027.324,3976.9727,4058.9238
5303.6265,5325.376,5350.742,5393.735,5382.9824,5373.533,5399.729,5405.231
3079.8054,3092.7207,3114.899,3142.53,3125.6194,3119.9148,3144.202,3146.1853
1616.9017,1619.6884,1625.8386,1632.3601,1629.2899,1627.2969,1632.7784,1634.1011
13635.97,13653.275,13712.481,13779.769,13746.983,13720.692,13771.094,13795.286
17963.822,18029.514,18151.254,18268.434,18214.467,18192.031,18303.27,18303.318
17517.133,17581.152,17701.54,17817.074,17763.443,17740.754,17850.879,17851.605
1701.233,1709.079,1725.0164,1737.9236,1728.5394,1724.8091,1739.4708,1738.127
6816.259,6819.311,6815.6245,6807.9126,6809.589,6820.055,6820.416,6810.033
4528.602,4530.95,4529.196,4525.964,4526.586,4532.896,4532.5254,4528.9053
2206.826,2210.1902,2211.0864,2205.7417,2207.0867,2209.6099,2213.4468,2207.107
3479.1504,3453.8672,3459.4185,3503.7817,3470.7495,3450.5037,3493.7793,3528.4553
12282.305,12274.049,12269.99,12293.517,12278.592,12263.717,12289.755,12297.86
34174.617,35120.836,35365.297,35114.855,35234.105,35798.766,35866.062,35263.92
1107.9408,1106.6082,1106.4124,1108.2377,1106.6826,1106.1963,1107.7499,1108.5598
2387.0764,2393.8718,2401.4531,2407.0964,2404.139,2405.1028,2411.5325,2409.4216
3852.1917,3839.3208,3837.5986,3858.2744,3840.1724,3831.0042,3846.3696,3863.6716
8386.268,8359.471,8354.998,8417.045,8370.173,8329.712,8384.729,8424.842
8689.944,8469.748,8429.218,8524.819,8589.547,8497.898,8487.249,8548.364
1083.7281,1082.0254,1081.0953,1083.7305,1082.4557,1080.551,1085.0266,1083.4451
7184.254,7198.078,7196.2407,7198.669,7187.677,7219.437,7208.529,7200.681
1584.0459,1589.6532,1595.2166,1599.0515,1597.3416,1598.3129,1602.8785,1600.6489
4002.117,3981.7537,3976.3345,3967.6262,3994.3704,3992.2126,3962.9978,3972.4043
5865.4634,5848.8125,5869.989,5889.608,5871.0327,5852.432,5886.2637,5900.2954
8958.231,8939.202,8917.139,8911.965,8939.601,8967.586,8935.476,8936.168
21270.033,21331.072,21382.348,21412.365,21399.492,21415.686,21457.484,21432.094
2436.5151,2432.9185,2439.994,2453.8118,2444.32,2425.7678,2450.277,2456.3784
1563.792,1566.2849,1554.5171,1583.1421,1567.8827,1537.4294,1614.214,1573.9048
6896.876,6891.2964,6901.4326,6924.708,6899.0835,6876.2373,6918.7915,6934.352
4289.578,4287.706,4283.5396,4283.5195,4282.6724,4282.479,4289.3247,4278.5435
2273.896,2269.1707,2278.0208,2292.4927,2272.4084,2264.0747,2292.6199,2291.259
2289.7632,2290.041,2289.996,2292.5312,2290.0737,2288.073,2292.0396,2291.4924
6083.11,6075.677,6074.272,6086.2544,6072.108,6071.4233,6083.826,6094.0293
1830.5753,1833.9662,1839.7704,1844.091,1842.0415,1841.2678,1846.1366,1845.2941
3774.0376,3789.0725,3826.2856,3860.7734,3848.2078,3844.315,3875.9272,3877.6177
6260.7075,6263.2324,6270.0127,6275.9473,6258.842,6263.2256,6269.707,6274.4556
2313.9326,2311.3315,2313.958,2316.6716,2313.616,2310.7163,2315.0889,2318.3481
3085.9275,3089.9395,3095.432,3100.6038,3095.704,3095.5781,3099.2744,3102.9417
2324.0942,2322.567,2320.869,2328.1982,2326.179,2320.6777,2324.2131,2328.117
5664.334,5659.933,5659.3174,5681.949,5659.415,5648.994,5672.6147,5682.013
3887.934,3893.8093,3889.791,3901.3975,3885.5234,3890.8608,3889.3643,3910.1138
3394.6946,3393.2024,3393.8022,3394.7852,3391.1057,3391.1113,3397.0625,3391.6323
