V1,V2,V3,V4,V5,V6
7272.5986,7273.256,7281.9844,7278.0073,7279.7983,7295.171
1480.672,1502.544,1528.1685,1505.3185,1552.6836,1575.9265
8813.193,9042.814,9289.717,9565.196,9876.715,10174.232
10168.574,10447.643,10726.553,11060.291,11415.922,11726.316
7453.4995,7812.718,8179.9165,8548.0,8973.988,9205.425
4348.1406,4567.17,4755.8423,4907.2627,5124.835,5239.4883
3868.6702,4033.505,4109.919,4274.3564,4395.234,4471.5127
2391.4243,2388.3567,2390.4712,2383.9392,2384.9644,2380.2832
2338.1213,2376.4229,2408.9766,2430.9185,2466.004,2482.105
2319.0903,2335.4282,2334.4265,2352.634,2344.9363,2338.8271
1511.0962,1530.9075,1544.7645,1559.5486,1578.6915,1587.1006
2077.3547,2145.3745,2209.686,2264.6733,2329.6538,2369.4438
4740.477,4804.7817,4886.0044,4945.027,4972.2627,5100.874
5181.3135,5247.4697,5338.264,5396.1807,5450.633,5559.1294
5585.7183,5700.39,5902.5083,5997.1797,6170.8105,6409.3315
2591.9875,2594.5608,2604.6,2604.3813,2602.1443,2625.7578
3907.2954,3961.1504,4023.8523,4086.6284,4108.4336,4173.746
3198.5408,3211.6328,3232.1235,3243.0032,3241.1135,3267.9414
3562.1794,3863.7507,4060.2913,4357.01,4606.5693,4756.1978
6772.666,6951.913,7090.99,7282.2637,7434.26,7552.1704
10217.043,10756.372,11119.461,11655.775,12135.727,12432.178
4691.903,4885.2847,4928.5225,5233.7334,5297.237,5430.861
9659.682,9714.494,9717.539,9875.824,9854.609,9949.681
9035.809,9201.459,9090.229,9557.591,9368.1045,9583.88
2557.071,2654.4045,2701.1064,2839.7754,2914.7727,2979.9526
7828.24,8141.8535,8189.702,8757.662,8819.858,9083.512
1874.3328,1943.04,1958.7983,2076.1807,2096.1414,2147.5415
1805.8002,1862.5864,1872.6519,1975.8789,1982.7231,2018.3885
4244.0996,4305.84,4328.8164,4408.567,4436.364,4472.285
4637.7266,4786.0825,4942.2627,5020.9185,5176.856,5242.04
3693.433,3688.4172,3670.5605,3632.2332,3647.6733,3621.9822
5536.4795,5638.0977,5718.9395,5791.9956,5883.621,5932.378
1294.5482,1323.3546,1350.0063,1360.4419,1390.1709,1393.5065
1716.7653,1752.9518,1781.0635,1790.1571,1820.8918,1822.658
3506.7104,3598.7542,3675.0005,3741.341,3832.666,3875.7935
1178.5599,1195.3806,1206.8096,1217.63,1230.7031,1236.7255
4116.08,4219.3926,4296.215,4380.653,4482.8335,4535.577
2654.0503,2731.9526,2725.393,3146.6504,3305.1396,3536.3594
3874.3076,3908.867,3991.5063,3940.7446,4002.5713,4001.7659
4876.21,4986.6455,5093.437,5227.8174,5307.4136,5454.829
14905.762,15084.93,15254.995,15502.768,15611.184,15869.939
6214.5625,6555.892,7026.3086,7367.71,7806.1323,8199.14
3089.102,3223.6396,3406.2751,3556.7817,3758.9526,3935.5566
10536.855,10862.244,11223.426,11556.168,11921.34,12292.662
10460.871,10734.228,11033.15,11313.734,11633.226,11970.006
6786.865,7193.3506,7705.3477,8087.292,8624.658,9116.248
6796.756,7204.36,7716.5776,8100.254,8638.43,9129.863
6939.918,6929.156,6911.7905,6993.951,6927.593,7011.754
2535.2568,2555.8857,2586.157,2601.0425,2632.0283,2655.5671
18817.818,18992.469,19215.768,19374.848,19564.812,19799.979
8252.254,8305.872,8370.869,8433.22,8464.636,8523.313
19114.066,20475.86,21994.727,23213.77,24690.664,25888.201
22664.924,25043.527,27200.242,29403.484,31664.883,33052.734
9786.025,10605.659,11658.289,12523.088,13568.366,14430.46
3018.6235,3284.7974,3588.5193,3843.7236,4144.599,4379.916
13601.757,15006.976,16490.605,17811.094,19227.855,20376.328
2269.161,2414.8396,2575.0042,2726.6577,2884.3071,3019.255
10176.03,10389.513,10581.499,10764.959,10857.915,11048.068
10194.476,10321.372,10472.836,10610.063,10779.237,10962.156
10413.686,10657.553,10915.893,11191.449,11476.154,11806.806
9716.21,9780.842,9914.287,9848.077,9923.968,10131.755
9911.835,9865.702,10320.072,9909.508,10150.143,10768.895
10655.441,11062.078,11434.529,11944.582,12391.496,13077.463
13827.031,14223.457,14983.071,15319.494,16083.802,16545.32
10912.47,11392.941,12195.158,12403.297,13158.035,13898.414
10653.673,11080.361,11463.065,11968.553,12386.455,12771.752
10025.188,10022.82,10049.888,10053.909,10055.323,10097.954
10066.121,10077.371,10085.728,10088.837,10080.038,10121.558
10433.696,10647.306,10895.0205,11136.62,11273.256,11452.127
9948.913,9987.864,9975.362,9993.338,9938.308,10089.079
10057.789,10048.659,10271.364,10225.57,10194.571,10547.803
10750.406,11167.904,11799.182,12139.65,12689.035,13156.805
10265.012,10285.327,10335.185,10248.09,10268.335,10146.491
10386.795,10366.801,10413.288,10370.702,10322.067,10249.013
10177.973,10176.079,10180.421,10196.751,10166.661,10141.396
10068.855,10080.231,10156.969,10137.93,10138.271,10122.027
10460.871,10786.692,10990.158,11553.807,11897.422,12190.782
10168.125,10479.432,10818.0625,11171.736,11446.582,11843.771
4512.1533,4500.776,4522.8267,4645.473,4591.766,4728.505
3627.0771,3506.4578,3657.191,3702.1978,3637.882,3691.9358
4713.8706,4937.3096,5247.4478,5419.465,5746.032,5962.6494
10868.455,10928.787,11055.655,11092.422,11083.915,11443.95
9923.125,10266.789,10622.093,11014.311,11311.729,11751.842
3720.295,3720.072,3719.9397,3730.7764,3729.625,3748.0364
1664.0078,1740.0745,1750.9113,1849.0652,1915.8408,1909.3562
2540.7227,2544.8767,2556.215,2576.9634,2580.7932,2614.9316
9989.062,9765.574,10573.765,9827.597,9887.956,10369.85
9520.948,9558.55,9613.59,9620.204,9673.609,9683.992
888.10645,894.7264,894.1151,1022.2897,945.0973,1101.16
5910.707,5850.645,6006.1343,5799.994,5842.877,5669.906
8128.0786,8231.681,8300.388,8510.061,8645.989,8781.107
1733.126,1723.4495,1748.7987,1737.4061,1713.9939,1864.5096
8102.158,8089.5283,8054.563,8085.0093,8018.894,8095.0654
6693.012,6685.8657,6689.7446,6694.953,6689.868,6698.888
6508.1196,6508.435,6493.285,6496.7705,6483.754,6500.874
7415.327,7469.923,7575.5796,7557.1274,7601.901,7661.0684
6418.8887,6434.1597,6423.788,6458.0605,6462.0093,6477.4434
8737.549,8720.128,8719.439,8735.477,8719.301,8738.766
8097.458,8131.977,8116.746,8146.5527,8136.023,8135.2495
8374.951,8364.534,8395.061,8389.758,8364.215,8375.973
1666.1493,1672.0469,1670.631,1633.9779,1627.1028,1664.2562
8911.395,8920.281,8868.481,8966.12,8947.931,9002.618
3522.0916,3563.0244,3598.1965,3634.5684,3704.4714,3746.2954
1834.273,1861.9631,1958.2017,1878.0103,1950.5681,1948.6993
2073.7256,2076.5356,2068.5095,2079.1245,2067.8186,2073.2644
2088.81,2105.3176,2136.0686,2114.7295,2118.344,2125.1204
3069.9082,3072.583,3077.6086,3080.7268,3090.2441,3088.666
1222.4858,1240.4824,1133.722,1195.4553,1131.949,1107.928
2488.8223,2489.3794,2462.9602,2493.9297,2466.7092,2495.482
1995.0367,1995.3253,1993.405,2003.109,1992.004,1992.9209
2733.0833,2708.4478,2702.6096,2661.3218,2661.1943,2615.7314
1282.199,1291.2804,1248.7089,1270.0958,1274.7257,1254.201
1822.1669,1820.917,1820.6895,1815.2762,1812.6509,1825.105
1936.2781,1937.892,1884.6909,1924.5377,1897.6937,1901.5348
1622.026,1617.872,1617.5707,1617.3601,1616.4253,1624.3376
2186.851,2189.1643,2159.2505,2177.531,2152.4595,2167.1462
2218.9114,2246.2678,2280.354,2204.918,2233.8484,2222.91
1860.0549,1838.3667,1870.6492,1779.6958,1798.2041,1756.8689
2497.0872,2483.513,2501.0703,2468.6394,2477.6572,2464.538
1901.7489,1903.8365,1910.276,1776.4379,1823.6992,1771.1412
3868.64,3853.371,3898.8225,3777.998,3823.0366,3825.1387
2189.0127,2170.3257,2179.653,2147.3735,2170.6543,2168.3
2332.0388,2392.326,2396.231,2461.2793,2516.7705,2547.4333
2294.4656,2304.7466,2443.6538,2323.907,2390.9548,2322.6091
7964.5044,7966.907,7951.644,7959.1343,7949.238,7966.1816
4382.9717,4370.009,4308.125,4352.5327,4363.579,4421.6
7062.1167,7070.49,6994.9897,7088.398,7059.6646,7053.446
9416.225,9422.406,9411.908,9457.743,9477.601,9510.309
3400.31,3386.2947,3373.5698,3386.7375,3373.0295,3384.601
6773.215,6768.859,6744.022,6770.4155,6744.9375,6790.165
8269.942,8259.703,8253.713,8260.803,8253.91,8282.725
7252.748,7251.7495,7251.9976,7249.1,7246.57,7242.2046
5034.078,5214.269,5551.0146,5654.062,5905.1465,5978.497
