V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1994.7177,1995.4985,1995.653,1995.3451,1995.278,1995.746,1995.6704,1996.816,1995.2979,1994.6064,1995.9708,1996.0743,1996.5856,1996.712
3007.725,3003.3647,3004.51,3010.9832,3009.3606,3010.3616,3005.566,3009.7947,3005.5703,3005.6528,3008.859,3009.6135,3010.4248,3010.0142
1099.7847,1094.6284,1099.6781,1107.9496,1104.2635,1106.1827,1101.5497,1107.7717,1099.4489,1098.3612,1102.8854,1103.4985,1105.3658,1106.3628
1166.0901,1154.8422,1169.4342,1181.6566,1178.0673,1181.4974,1177.6304,1186.5188,1173.7518,1171.8933,1188.6556,1185.4297,1194.2351,1194.5035
5706.3545,5710.8745,5710.318,5698.9146,5703.714,5704.6562,5710.6055,5712.867,5708.2476,5706.187,5708.587,5708.8574,5712.3228,5714.1772
3058.5278,3058.2524,3063.233,3038.2856,3046.9866,3045.9321,3060.947,3058.9043,3057.9343,3057.3877,3066.502,3068.5369,3073.7253,3070.8591
4139.686,4137.829,4168.0747,4106.534,4107.8657,4084.669,4137.663,4145.7983,4134.8,4119.198,4115.455,4060.6426,4046.6028,4092.2751
1691.163,1692.4141,1692.2909,1688.5511,1689.6583,1689.8982,1692.5582,1693.315,1691.4962,1690.8014,1692.5665,1692.8441,1693.8613,1694.1902
1550.1602,1551.2188,1551.127,1547.889,1548.8381,1549.0576,1551.3551,1552.0111,1550.4451,1549.8384,1551.4042,1551.6437,1552.5365,1552.8137
2540.315,2544.2551,2543.0269,2534.2437,2536.0154,2534.306,2543.3372,2542.175,2540.51,2540.834,2542.0574,2542.2422,2542.7915,2544.2268
2407.576,2408.4868,2408.1245,2403.0122,2404.2046,2402.9675,2408.1765,2405.566,2407.3213,2407.9148,2407.25,2406.9421,2405.8472,2408.083
3522.5027,3526.8772,3525.5042,3515.4004,3518.8608,3517.3313,3525.7148,3525.0208,3523.0842,3522.562,3522.2144,3521.9392,3521.6753,3524.9546
6872.316,6884.748,6879.5312,6870.5986,6873.181,6871.259,6882.959,6884.825,6874.3896,6871.998,6867.65,6869.337,6865.4307,6881.383
5464.887,5466.857,5471.2085,5458.4404,5463.6753,5466.612,5471.2744,5480.967,5468.9326,5461.6763,5472.2495,5470.4033,5482.457,5485.793
5603.053,5656.3315,5648.0225,5502.6426,5549.137,5537.8794,5644.3535,5657.809,5616.3228,5595.925,5619.3887,5601.062,5626.434,5658.573
3074.152,3072.786,3075.0017,3074.38,3073.503,3073.8276,3074.358,3075.665,3074.7385,3074.519,3074.2573,3073.9016,3073.132,3075.8425
3893.7017,3897.633,3895.8113,3889.1814,3892.1812,3892.0432,3896.8193,3895.736,3894.987,3893.3142,3889.2395,3888.7366,3889.1152,3896.0276
9522.971,9526.994,9524.967,9525.777,9524.487,9524.212,9527.252,9521.58,9527.697,9526.145,9527.614,9527.122,9521.377,9516.532
2510.107,2513.7505,2514.465,2505.8708,2509.4785,2512.8518,2514.448,2518.4614,2512.4258,2508.856,2513.409,2514.9302,2520.4177,2522.566
10943.653,10939.702,10937.658,10947.636,10943.128,10941.512,10936.645,10932.806,10935.458,10942.062,10926.853,10925.974,10914.367,10915.624
