V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
636.6633,641.74524,637.55237,643.2914,637.2418,637.2305,641.5717,632.14557,636.74347,633.78723,641.12286,645.83417,632.7349,636.646,645.5974,639.9864,640.6729,640.0978,647.3126,645.56647,635.7518,642.22156,639.063,635.9119,641.0402,636.91455,632.6608,635.59265,640.01556,637.69446,633.3355,638.50964,636.03503,639.97723,644.73987,639.408,637.4094,650.0635,643.1648,637.6251,644.774,639.1145,642.09607,635.4199,634.19867,645.9551,637.9147,637.8839
2814.758,2839.5198,2817.385,2843.7827,2812.9917,2820.9275,2832.1433,2799.3872,2816.1948,2807.899,2826.6663,2845.0198,2802.832,2817.6877,2834.2104,2827.8572,2830.488,2825.355,2857.1865,2844.7354,2812.3108,2832.1611,2824.5308,2810.2136,2832.0256,2816.4456,2798.7944,2808.0574,2828.354,2818.0896,2803.8909,2811.8635,2802.8328,2833.5098,2843.2532,2817.56,2814.147,2865.0293,2840.102,2816.7524,2839.8467,2828.4138,2836.855,2811.0068,2803.0574,2849.1067,2815.475,2820.525
1088.045,1094.9331,1089.1559,1094.6727,1087.3635,1086.8593,1087.7128,1085.4094,1086.5468,1090.557,1086.8053,1087.9135,1088.2303,1092.5488,1088.2418,1088.7021,1092.0377,1088.6003,1097.0038,1099.903,1084.4401,1089.3431,1085.764,1085.9513,1090.2546,1091.7191,1084.5258,1088.6316,1091.4518,1092.2062,1088.0236,1087.3727,1085.0447,1095.5135,1099.1014,1092.852,1086.6923,1099.243,1090.7848,1087.025,1091.1458,1088.2373,1088.0007,1086.3893,1083.2931,1095.0569,1087.1626,1084.0336
4648.207,4662.6313,4652.0493,4679.5396,4645.507,4645.4966,4648.143,4633.6587,4632.3984,4652.3755,4636.4683,4656.873,4635.788,4653.9673,4655.356,4649.401,4650.574,4651.8584,4680.845,4676.809,4629.658,4660.5737,4636.927,4633.0967,4665.0693,4655.094,4620.6724,4639.5054,4663.5044,4646.699,4628.998,4639.4517,4625.5996,4658.0044,4677.645,4643.6606,4633.145,4694.949,4674.5205,4645.214,4654.197,4643.607,4659.1323,4644.345,4625.9316,4676.503,4631.6826,4658.9004
2370.7761,2382.3008,2363.47,2398.2156,2368.8772,2369.539,2360.933,2355.7139,2354.6514,2375.163,2355.1677,2356.233,2361.2168,2382.4946,2373.9597,2372.8193,2362.4275,2362.642,2384.7349,2412.1729,2338.7024,2368.9395,2368.4858,2363.8809,2368.9402,2382.7112,2343.851,2360.8115,2376.0376,2377.493,2365.1536,2360.844,2346.654,2384.5808,2406.671,2359.0513,2352.156,2399.351,2389.0774,2366.0283,2378.8848,2374.245,2370.5244,2362.544,2341.2756,2386.915,2357.3552,2349.3958
6065.3555,6089.6084,6084.7437,6075.384,6064.4785,6063.395,6077.9106,6086.18,6067.5845,6117.9463,6069.4375,6098.1724,6066.2607,6104.322,6092.6875,6083.058,6092.148,6068.98,6081.9653,6084.8486,6055.139,6075.1465,6057.0474,6075.1875,6057.9663,6089.093,6015.075,6069.4263,6113.299,6057.8877,6064.6577,6071.695,6110.195,6075.323,6082.1587,6086.7393,6082.612,6138.4443,6101.2925,6080.339,6089.738,6096.212,6092.494,6066.063,6062.613,6105.928,6067.3643,6057.814
36567.59,36649.812,36521.324,36812.72,36540.926,36541.64,36482.984,36472.496,36448.562,36632.176,36411.746,36431.96,36515.48,36668.824,36566.176,36525.125,36533.15,36492.03,36726.164,36960.21,36311.49,36553.098,36658.844,36518.598,36579.266,36697.242,36323.492,36467.758,36674.984,36640.27,36501.867,36583.5,36372.082,36727.324,36931.402,36478.28,36438.918,36868.19,36740.56,36505.945,36634.8,36516.83,36615.9,36606.85,36343.773,36758.297,36435.465,36428.496
29171.188,29320.922,29138.703,29347.994,29153.82,29146.092,29269.6,28958.072,29116.943,29020.166,29257.693,29465.832,28957.275,29167.174,29416.168,29275.174,29331.51,29232.742,29517.191,29441.73,29081.91,29305.156,29145.191,29052.396,29263.086,29136.504,28983.05,29057.678,29199.621,29160.914,29033.592,29047.523,29184.176,29246.117,29421.654,29256.422,29164.123,29639.941,29244.004,29152.824,29349.648,29205.355,29338.004,29142.545,29090.22,29474.816,29111.875,29023.605
34982.85,35184.1,35009.99,35215.438,34972.152,35025.63,35103.523,34846.145,34962.16,34930.844,35053.445,35253.2,34878.89,35015.25,35140.25,35106.43,35140.594,35073.08,35355.406,35216.26,34912.23,35144.82,35029.51,34906.023,35125.773,34978.082,34847.285,34953.277,35091.164,35010.46,34870.887,34924.91,34845.85,35127.918,35242.227,34987.992,34964.105,35416.125,35157.953,34979.45,35193.113,35065.08,35183.973,34939.453,34856.332,35264.266,34954.42,35022.594
415.32745,415.47516,414.9989,415.74344,414.35947,414.66083,414.70105,414.26288,414.25455,414.89908,414.6283,414.5504,414.42337,415.0054,414.84705,414.6824,415.4377,415.08878,415.85535,416.3011,413.85037,414.71368,414.17087,414.602,415.49164,414.78635,413.8041,414.61893,415.34274,414.97363,414.6666,414.1065,413.81024,415.64224,416.17084,414.37454,414.52173,416.34387,415.6514,414.5599,414.64496,414.56046,414.4131,414.61548,413.7285,416.13498,414.66525,414.4796
29881.447,30041.27,29914.055,30003.83,29896.574,29849.725,30053.846,29737.113,29906.016,29875.234,30011.635,30150.496,29690.334,29882.615,30168.879,29946.9,30002.426,29918.848,30179.45,30052.406,29783.193,29951.576,29858.074,29913.377,29955.578,30061.625,29717.213,29798.951,30053.46,29878.0,29737.262,29798.025,30060.305,29948.64,30087.074,29991.002,29971.502,30357.965,30065.934,29921.314,30139.172,30081.242,30111.912,29946.998,29800.053,30171.3,29894.545,29738.91
8056.1772,8097.197,8047.1377,8111.993,8055.3745,8044.6826,8087.5537,7991.3613,8039.784,8009.817,8080.228,8140.835,7990.162,8052.528,8135.677,8085.759,8096.071,8069.9683,8161.669,8139.425,8022.2725,8099.6733,8043.4443,8017.144,8083.1016,8044.917,7995.2266,8017.787,8061.2065,8055.8833,8017.822,8014.8496,8055.8857,8083.577,8136.964,8086.4355,8049.6895,8199.46,8081.417,8044.657,8114.704,8076.7993,8107.097,8051.0186,8026.5645,8141.3975,8036.646,8001.1904
558.1752,560.7534,557.96356,557.4174,557.4427,558.72974,558.87115,553.7698,557.04987,555.5308,558.67267,564.5194,559.32135,561.3322,564.7037,559.909,563.1923,558.88947,558.6159,566.9447,560.25964,558.76733,556.92334,560.1117,558.17737,561.6449,555.35944,556.8639,557.5685,555.25757,556.5779,556.5334,560.7742,559.5798,560.0819,560.6675,560.5819,565.63574,560.33673,560.7109,557.94666,557.56134,562.89056,558.78674,558.31256,564.8675,557.7267,558.33203
158.20773,158.46054,157.86957,158.67728,157.84157,157.84306,157.8639,157.3489,157.49646,157.98997,157.66988,157.75018,157.62485,158.27106,158.32323,157.84172,157.91312,157.92572,158.58228,159.37796,156.95935,158.00845,157.72514,157.80446,158.02266,158.30684,157.12904,157.47336,158.09854,158.17726,157.72777,157.74915,157.17235,158.4855,159.15306,158.08438,157.46892,159.28795,158.50868,157.80057,158.25401,158.24394,157.65329,157.44104,157.05327,158.56883,157.623,157.17807
13712.522,13798.03,13699.565,13795.927,13705.511,13705.027,13759.886,13620.492,13694.175,13646.708,13764.061,13857.838,13619.696,13700.284,13818.583,13761.426,13798.557,13748.575,13879.444,13832.342,13678.645,13784.456,13712.802,13663.215,13757.426,13698.679,13629.71,13667.541,13731.686,13705.629,13644.038,13660.131,13733.004,13753.906,13822.709,13737.312,13723.604,13933.368,13749.195,13715.995,13805.478,13726.107,13791.756,13695.795,13680.48,13858.061,13687.229,13666.123
1221.0244,1229.7241,1223.3484,1231.2294,1220.0817,1222.9802,1225.0321,1218.019,1222.0168,1219.6777,1222.593,1230.7991,1219.7017,1222.6796,1224.9675,1223.5391,1226.0575,1223.3824,1237.2876,1230.7482,1218.0703,1226.1412,1225.5056,1219.2435,1227.4697,1222.1506,1216.4421,1221.2249,1226.1831,1221.714,1216.9617,1218.5542,1213.0881,1229.0001,1233.6403,1221.3715,1220.4427,1239.3224,1228.9844,1220.2386,1230.2885,1221.848,1230.7954,1220.8066,1216.1659,1231.7789,1219.4991,1225.111
