V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37761.645,37706.254,37743.707,37718.63,37760.207,37780.938,37759.812,37759.145,37729.242,37730.094,37781.37,37772.746,37703.895
3772.689,3762.859,3769.9424,3768.666,3771.869,3771.8313,3768.3408,3770.3313,3767.489,3768.2866,3772.833,3774.1501,3765.801
9532.7705,9542.391,9521.515,9535.1455,9537.037,9533.458,9532.881,9532.863,9535.641,9540.793,9517.186,9542.017,9537.328
2298.415,2289.8704,2288.3242,2265.9841,2292.6182,2290.822,2299.0085,2274.942,2289.936,2263.8464,2304.1858,2304.574,2290.551
1656.6178,1653.6249,1665.7205,1613.8206,1677.0183,1684.6044,1671.2406,1633.0973,1632.9553,1657.8842,1660.0505,1668.1248,1658.5413
553.7285,551.7146,558.1356,562.24536,553.84393,557.186,556.9916,546.2021,553.3438,535.2476,557.779,549.18146,543.68787
2687.0059,2750.9565,2719.0479,2733.9949,2733.1628,2728.4001,2725.1853,2625.331,2749.715,2730.4653,2653.3818,2712.977,2702.8516
2179.5679,2192.5227,2183.1614,2172.97,2195.446,2182.5745,2147.2117,2136.7222,2147.4316,2183.2676,2152.4336,2180.35,2153.2937
5921.609,5943.822,5908.5015,5914.347,5901.555,5925.7056,5888.575,5866.731,5903.497,5912.7017,5897.145,5920.599,5933.825
4799.992,4825.2964,4804.406,4816.464,4800.655,4810.316,4808.58,4811.969,4825.448,4812.6733,4790.512,4812.473,4811.7017
408.24435,402.27014,403.6498,396.01062,405.1009,405.1665,403.79956,397.98672,402.34875,396.34186,404.82013,406.294,403.57578
1041.7963,1039.1036,1040.9973,1041.393,1041.6464,1043.0264,1042.4764,1041.2465,1042.8118,1041.6385,1040.8606,1038.4381,1040.1959
2144.9553,2156.6519,2147.4585,2153.523,2147.0703,2149.6619,2152.3215,2146.5251,2158.7273,2152.5562,2143.8218,2151.581,2155.3284
2155.3845,2163.808,2154.471,2161.5593,2153.9014,2157.1267,2161.8608,2154.5764,2167.6094,2160.8362,2151.9297,2161.2693,2162.348
3092.454,3181.5813,3112.5188,3174.288,3104.9285,3144.3477,3137.672,3113.4175,3204.6099,3154.2097,3073.1997,3137.437,3157.4902
3092.454,3181.5813,3112.5188,3174.288,3104.9285,3144.3477,3137.672,3113.4175,3204.6099,3154.2097,3073.1997,3137.437,3157.4902
11870.418,11889.617,11877.944,11887.517,11874.849,11881.671,11880.598,11879.681,11892.27,11885.673,11869.623,11884.816,11879.172
4444.858,4436.3496,4448.831,4430.107,4437.7954,4442.526,4445.7603,4433.4136,4438.382,4439.911,4449.451,4446.2563,4446.0903
2805.6328,2808.9998,2799.7358,2796.1511,2840.648,2842.9395,2855.4668,2735.6116,2904.0076,2787.0698,2829.4568,2823.996,2860.6187
4317.446,4333.369,4331.218,4301.5767,4364.6655,4350.1885,4342.2637,4263.5854,4330.205,4319.308,4343.886,4360.7705,4341.3013
1946.901,1978.8711,1959.0209,1937.4619,1983.0616,1988.6663,1993.2242,1951.9562,1967.8048,1996.2571,1971.2805,1970.1421,1998.285
3381.6897,3436.5208,3401.3867,3418.6746,3356.7446,3412.1663,3404.9597,3372.267,3387.8298,3369.2617,3401.2808,3404.9883,3371.8506
797.5873,803.2407,797.6057,799.07654,801.5924,802.74426,804.32166,796.8839,807.8495,798.3552,801.9538,804.66156,797.3051
6216.8413,6259.6963,6225.2817,6276.202,6255.909,6265.643,6307.505,6108.7607,6419.967,6293.9824,6293.4326,6242.898,6309.2036
974.63995,986.42285,978.983,980.5472,975.9109,973.8276,977.42175,966.84924,982.0878,979.28674,963.0961,977.76306,976.54785
2895.2402,2906.878,2895.9187,2883.0142,2901.0312,2907.4302,2901.855,2868.9565,2884.4316,2892.5364,2895.0479,2915.4053,2907.3772
