V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1994.6298,1994.5717,1994.5576,1994.6003,1994.86,1994.3817,1994.6914,1994.1605,1994.8517,1994.8862,1994.9346,1994.759,1994.5073,1994.3427
3005.939,3007.305,3007.432,3005.9946,3006.8132,3006.2424,3007.11,3006.9966,3007.2058,3007.051,3007.3782,3007.2349,3006.3887,3006.495
1097.4688,1099.1638,1099.3428,1096.0726,1098.3444,1097.1123,1099.6294,1096.9385,1099.4968,1099.3137,1099.4219,1098.3542,1098.4766,1096.719
1167.824,1169.8451,1170.1387,1166.3224,1168.6632,1167.3098,1173.5945,1168.8177,1174.057,1173.3671,1172.7781,1170.6896,1171.4878,1170.5685
5705.3096,5704.523,5703.636,5704.0234,5706.4116,5704.686,5704.1045,5703.098,5704.7383,5706.426,5705.5405,5705.5146,5704.1353,5703.415
3058.609,3059.5615,3057.1438,3057.9001,3060.1455,3059.5999,3060.0647,3060.2078,3061.7837,3062.4177,3059.2944,3061.0276,3061.3826,3062.0237
4120.4834,4127.2686,4120.7812,4116.5425,4124.5996,4111.671,4122.5103,4118.2656,4121.001,4110.8804,4115.434,4133.6533,4111.801,4113.649
1691.0186,1690.8396,1690.3884,1690.6294,1691.2078,1690.9282,1690.6798,1690.4384,1691.1761,1691.4094,1690.9409,1691.1422,1690.7261,1690.4948
1550.0343,1549.8871,1549.4923,1549.7074,1550.1915,1549.9584,1549.7548,1549.5417,1550.1848,1550.3811,1549.9734,1550.1509,1549.799,1549.5886
2540.1213,2539.0593,2538.9202,2539.203,2540.8086,2539.5383,2538.728,2539.6382,2540.226,2540.3323,2539.6816,2539.8506,2539.6572,2538.8418
2407.5134,2407.4417,2406.9724,2406.6104,2407.93,2406.9695,2406.8274,2407.5144,2407.298,2406.9556,2406.9082,2407.5034,2407.219,2407.8564
3521.3691,3520.563,3520.592,3520.408,3522.1296,3521.2136,3519.9375,3520.8467,3521.3523,3520.8801,3521.2407,3521.329,3520.3162,3519.9958
6869.7935,6868.3325,6869.8584,6869.845,6871.8467,6870.7173,6866.34,6866.989,6871.324,6869.9443,6872.0444,6870.5566,6866.8936,6864.698
5462.7314,5462.66,5460.854,5462.025,5464.645,5460.4434,5464.28,5457.6763,5463.622,5465.409,5463.401,5462.0684,5461.581,5459.1274
5580.9736,5575.7383,5562.9727,5561.0845,5594.338,5575.094,5565.907,5562.1704,5573.751,5592.091,5578.354,5586.6294,5559.589,5564.6396
3074.3196,3074.497,3074.396,3074.387,3074.8508,3074.5227,3074.6248,3073.9902,3074.357,3074.6729,3074.516,3074.7756,3074.3723,3074.1487
3891.6372,3891.3042,3891.6113,3891.172,3892.4358,3891.7173,3890.3625,3891.0122,3891.5486,3891.2075,3892.299,3892.1672,3890.178,3889.6729
9524.395,9524.411,9525.004,9524.681,9525.213,9524.431,9522.917,9524.253,9525.025,9523.28,9524.409,9524.184,9524.452,9524.866
2509.4924,2509.0554,2508.598,2509.4678,2510.1758,2507.8533,2508.8708,2507.1826,2510.2585,2511.0837,2510.7144,2509.3635,2508.4338,2507.2063
10941.424,10943.902,10945.239,10940.096,10943.707,10942.454,10943.018,10943.01,10941.719,10936.519,10942.098,10941.022,10942.403,10941.7
2497.5771,2497.1675,2496.699,2497.5974,2498.2705,2495.9421,2496.9717,2495.2515,2498.409,2499.2002,2498.831,2497.4863,2496.5583,2495.2705
2750.015,2749.2014,2747.8474,2749.435,2750.6892,2749.2646,2749.8428,2748.404,2751.923,2751.451,2750.4556,2750.296,2750.0796,2749.1035
1902.2803,1902.5497,1902.7683,1902.9775,1902.894,1902.7773,1903.6616,1903.1489,1903.3684,1903.0868,1903.6085,1902.5273,1903.1154,1903.5505
2461.2249,2460.6555,2459.4187,2460.8662,2461.846,2460.653,2461.1753,2459.9233,2463.0154,2462.5762,2461.7014,2461.5713,2461.4316,2460.571
1574.9857,1575.086,1575.2335,1575.3428,1575.2871,1575.0608,1576.0386,1575.3667,1575.7512,1575.4104,1575.9818,1575.2496,1575.4852,1575.7987
2279.6318,2279.0444,2277.898,2279.4355,2280.103,2278.7302,2279.4863,2277.8652,2281.1675,2280.8647,2280.0706,2280.1438,2279.5474,2278.6045
1702.4536,1702.7909,1702.9434,1703.063,1703.0011,1702.9037,1703.7356,1703.2905,1703.448,1703.196,1703.6765,1702.7163,1703.2443,1703.6537
438.65033,438.85455,439.62607,438.3829,439.37372,438.5715,438.54675,437.71008,438.75098,437.2382,438.6462,438.00708,438.98154,439.42322
6192.929,6191.9883,6189.703,6189.619,6194.6704,6192.695,6191.0537,6191.4414,6191.8564,6195.1206,6192.207,6193.712,6191.799,6191.9287
630.4005,630.694,631.80273,630.0161,631.4401,630.28723,630.25165,629.0492,630.54517,628.371,630.3946,629.4761,630.87634,631.5113
2045.9905,2045.236,2047.0449,2045.7007,2046.7506,2046.4033,2045.3746,2045.9507,2046.0928,2044.3008,2046.714,2045.4333,2045.9489,2045.6658
1855.6332,1854.9491,1856.5894,1855.3708,1856.323,1856.0066,1855.0747,1855.5977,1855.726,1854.0996,1856.2887,1855.1267,1855.5953,1855.3372
6606.3223,6605.8936,6609.276,6605.1436,6607.922,6606.1494,6604.5713,6606.0273,6607.1084,6601.957,6608.8584,6606.1157,6605.922,6602.1973
2177.986,2178.8384,2178.43,2178.5256,2179.4453,2177.8179,2180.4216,2176.6587,2180.4065,2179.0786,2180.4194,2179.7085,2178.394,2178.5151
1657.4822,1658.0104,1658.605,1657.0074,1658.4651,1657.1425,1657.4424,1657.2452,1658.5712,1656.8325,1657.8849,1656.6475,1657.8342,1658.6635
3758.6072,3758.4924,3759.6602,3758.7334,3759.267,3759.0146,3758.6052,3758.323,3758.761,3757.309,3759.1038,3758.3,3758.6626,3758.6401
2478.4321,2478.34,2479.3345,2477.5686,2479.2083,2477.4028,2479.6177,2479.4412,2479.1091,2479.222,2479.8198,2479.3137,2478.605,2478.4944
2322.3503,2324.301,2325.7036,2323.0713,2323.586,2323.7373,2326.023,2324.2466,2324.2856,2324.3125,2325.6511,2323.916,2323.9705,2324.9448
2166.334,2165.9172,2164.9465,2162.584,2168.5796,2164.9766,2162.0674,2165.6467,2165.453,2162.6313,2166.0566,2167.73,2162.9976,2162.1309
3710.4255,3710.5364,3709.7239,3708.8496,3712.1147,3710.6414,3708.6243,3710.3418,3709.9993,3711.314,3711.63,3711.431,3707.9617,3709.322
5796.915,5795.2026,5788.4062,5782.6406,5801.3936,5787.3486,5783.1562,5795.6777,5797.127,5787.9365,5791.668,5789.5386,5792.0537,5791.804
6921.849,6925.6797,6922.738,6924.1387,6927.166,6919.442,6928.014,6919.008,6924.7173,6927.762,6928.312,6924.0947,6924.3926,6922.5513
1126.9846,1127.2649,1127.2264,1126.87,1127.3151,1127.0272,1127.4276,1126.7029,1127.1726,1127.4862,1127.3689,1127.0763,1127.2457,1127.1123
8691.676,8694.1,8696.471,8693.885,8694.044,8693.892,8694.883,8691.757,8695.451,8690.594,8693.677,8691.934,8694.665,8695.683
1114.0743,1114.0476,1114.035,1113.9546,1114.1432,1113.953,1114.1483,1113.8883,1114.1127,1114.143,1114.1257,1114.054,1114.0022,1113.8181
10233.081,10234.958,10234.871,10230.699,10233.683,10231.391,10236.527,10232.786,10236.507,10234.401,10236.593,10234.602,10233.146,10232.825
1024.3646,1024.5831,1024.6082,1024.2363,1024.4293,1024.4573,1024.6824,1024.4291,1024.6536,1024.6516,1024.5931,1024.5295,1024.4893,1024.5496
10567.681,10569.944,10570.421,10565.35,10570.089,10567.4,10571.657,10565.925,10569.981,10572.331,10571.811,10568.985,10570.231,10570.154
11125.316,11128.295,11128.161,11123.613,11128.648,11125.532,11129.866,11123.122,11127.857,11130.479,11129.767,11126.857,11128.338,11127.554
10071.987,10075.194,10074.977,10071.16,10073.052,10071.836,10076.1875,10074.164,10076.394,10074.786,10076.267,10074.503,10074.107,10075.748
1034.5718,1034.8333,1034.8284,1034.4197,1034.6809,1034.4943,1034.9484,1034.6796,1034.9752,1034.7911,1034.9508,1034.7642,1034.7114,1034.7603
3085.4966,3087.7917,3088.6677,3084.4976,3087.181,3086.547,3088.125,3086.388,3088.0427,3086.0967,3088.3008,3088.1787,3087.182,3088.966
1100.2893,1100.2583,1100.2566,1100.2698,1100.3557,1100.2333,1100.3033,1100.1486,1100.3406,1100.3702,1100.3578,1100.3394,1100.248,1100.1132
2766.4368,2766.2698,2766.2144,2765.999,2766.9453,2766.6099,2765.7456,2766.442,2766.2664,2766.319,2766.5842,2766.745,2765.69,2766.0242
1088.212,1088.5138,1088.5765,1088.0864,1088.4238,1088.3936,1088.6005,1088.5333,1088.582,1088.3722,1088.5472,1088.333,1088.2736,1088.3696
10468.067,10466.974,10467.505,10467.88,10468.252,10467.467,10468.265,10466.906,10468.48,10468.531,10468.306,10468.106,10467.533,10466.294
1743.6438,1743.9222,1744.3687,1743.4349,1743.952,1743.7191,1744.1816,1744.0646,1744.1399,1744.2771,1744.198,1743.9475,1743.9696,1744.2689
1714.9542,1714.9653,1715.4733,1714.5735,1715.1309,1714.9314,1715.3928,1715.1637,1715.2719,1715.1724,1715.4617,1715.3218,1715.1191,1715.3912
4784.203,4783.6675,4783.037,4783.394,4785.634,4784.2153,4783.1226,4782.4937,4784.384,4785.376,4784.388,4784.6133,4782.78,4782.9316
4033.4326,4033.5195,4033.99,4031.9463,4033.9675,4032.29,4034.0208,4033.0889,4033.0676,4032.752,4033.9822,4033.3762,4033.0676,4032.2036
3585.6597,3586.1238,3587.183,3585.749,3586.185,3586.0742,3587.5557,3586.6787,3587.7302,3588.0605,3587.878,3585.8066,3586.473,3586.861
5896.073,5899.0977,5900.5327,5894.334,5897.2817,5895.46,5899.7817,5899.682,5899.9326,5900.57,5900.425,5899.7817,5897.3096,5898.5693
4584.14,4584.1685,4583.055,4582.583,4584.727,4583.841,4583.561,4582.5625,4584.1074,4584.902,4584.209,4584.5303,4582.9434,4582.614
962.1177,961.9456,960.1848,960.58704,963.2393,962.2047,961.5706,961.14667,962.4159,963.74304,961.81433,962.92236,962.1401,962.2745
3518.4226,3518.5203,3519.399,3518.8823,3519.6719,3518.1562,3517.866,3518.9487,3520.0273,3515.6353,3518.6548,3515.8408,3518.9573,3518.9907
1448.1724,1449.3064,1449.9321,1447.6144,1448.6377,1447.8857,1449.4797,1449.0107,1449.7498,1449.7798,1449.8778,1449.209,1448.7097,1449.4707
5440.2183,5445.8423,5448.5635,5439.0015,5442.8335,5440.874,5445.6177,5444.7554,5448.2627,5447.4478,5448.0444,5446.6323,5443.217,5447.316
5467.8496,5467.159,5467.987,5466.447,5468.8086,5468.0767,5466.2812,5466.9087,5467.7705,5466.757,5467.653,5468.5874,5465.8945,5467.937
3992.9724,3993.9048,3994.2427,3993.0288,3993.4941,3993.7146,3994.5957,3994.064,3994.2637,3994.3752,3994.2375,3993.5479,3993.7268,3994.4697
3950.6892,3951.9805,3952.5962,3949.7373,3951.5718,3950.127,3952.5713,3951.25,3952.0935,3952.0244,3952.3315,3952.197,3951.1714,3952.2231
2568.033,2568.626,2569.0059,2567.656,2568.5298,2568.3445,2569.073,2568.713,2569.0024,2568.1138,2569.1145,2568.9294,2568.4448,2569.0793
1952.0137,1952.4155,1952.8889,1951.86,1952.3635,1952.1422,1952.6578,1952.636,1952.7103,1952.8234,1952.7518,1952.4768,1952.4103,1952.7916
1033.4839,1033.7211,1033.8105,1033.3342,1033.5648,1033.5314,1033.8008,1033.6473,1033.7913,1033.7975,1033.7803,1033.7626,1033.6245,1033.7543
