V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
615.199,606.91205,599.0201,596.4267,595.93207,597.6713,595.42804,592.2386,602.9483,598.478,616.48975,588.9318,638.26385,653.7695,751.68884,758.2601,750.122,725.9713,759.33606,747.36646,696.29083,691.5485,670.0564,629.16077,618.2157,614.60474,611.53284,592.04095,598.1096,591.84045,591.4558,610.9341,594.78345,599.6162,626.1526,616.59814,629.53735,628.10583,744.7935,733.37225,698.59955,759.2206,763.53485,740.1833,746.1379,740.59503,619.6175,635.3567
2724.1167,2678.6619,2641.8774,2628.3633,2625.761,2622.5242,2608.4355,2601.0977,2655.3406,2633.1335,2696.859,2615.4717,2761.0308,2779.3257,3182.291,3229.1667,3288.21,3214.5269,3371.573,3347.7585,3139.8337,3143.3052,3051.4395,2846.1458,2735.9644,2710.6362,2695.8662,2609.5447,2631.0557,2600.871,2599.3484,2662.806,2620.3271,2633.3367,2663.5623,2661.283,2750.5154,2720.6265,3115.2048,3120.7305,3001.495,3327.4182,3375.6987,3327.7961,3362.47,3327.7478,2778.131,2898.5334
1131.8492,1066.2886,1061.0038,1061.1924,1041.0614,1040.5543,1037.3986,1028.9604,1041.4812,1047.6315,1059.3383,1042.5759,1084.3207,1091.1357,1170.776,1192.7593,1193.8844,1215.9203,1253.3446,1242.2413,1208.8583,1248.1173,1210.2667,1204.5499,1124.4843,1063.9364,1064.3158,1054.9247,1058.5906,1025.214,1030.7435,1050.0659,1046.6788,1040.1516,1048.6381,1059.3016,1068.7281,1045.0239,1163.8445,1180.114,1070.292,1221.7003,1247.1777,1265.3981,1265.8229,1261.3396,1210.0684,1196.9669
4716.341,4566.0996,4539.109,4531.6226,4443.21,4486.532,4493.976,4364.751,4415.4395,4404.1294,4419.9346,4403.8867,4461.032,4484.7896,4536.169,4550.0225,4602.252,4674.2656,4929.665,5038.261,4939.5366,5052.0703,5074.451,5057.9883,4807.3374,4611.7974,4579.094,4541.835,4543.6465,4430.281,4389.731,4488.342,4380.269,4384.654,4397.53,4407.3804,4455.3857,4435.664,4538.924,4530.4424,4565.8584,4751.467,4889.9478,4959.4126,5235.533,5315.2476,4926.592,5120.4272
2657.552,2429.6184,2295.581,2281.3027,2179.0244,2258.8567,2252.1216,2106.6282,2171.3674,2136.2002,2197.582,2162.2998,2258.5288,2261.592,2310.926,2409.707,2534.7122,2691.045,2967.6816,2946.23,2940.3367,3026.9539,2943.19,2968.028,2653.561,2500.0347,2430.3474,2266.59,2267.32,2235.0457,2114.7593,2255.1238,2128.9895,2132.0322,2154.311,2146.0698,2255.3774,2174.1748,2303.9053,2391.3738,2277.1355,2777.8943,2928.8047,3044.5488,3082.698,3128.6887,2956.1934,2904.414
5839.269,5825.552,5841.807,5831.7676,5855.2593,5939.2476,6027.7876,6309.3013,5960.528,6683.1313,6738.7847,6278.124,6694.057,6725.512,6779.4673,6656.283,6245.659,5996.643,5956.5347,5952.364,5917.106,5874.2285,5836.309,5807.327,5829.539,5841.2373,5862.83,5868.335,5868.4116,5956.3335,6004.8433,6015.0986,6679.003,6767.4453,6897.745,6808.9595,6827.439,6750.5723,6855.55,6618.7427,6208.7603,6097.436,5985.2046,5961.0664,5888.0225,5844.1084,5818.943,5812.2993
40351.305,38189.516,36630.844,36178.3,35274.586,35764.535,35466.8,34474.332,34981.562,34684.617,34988.77,34871.645,35588.78,35804.902,36190.266,36328.91,37423.605,39618.79,41585.047,41743.797,41587.71,42760.18,42091.523,42600.27,40426.242,38707.445,37916.043,36133.01,36086.53,35337.344,34670.24,35485.742,34637.1,34683.824,34795.71,34815.742,35260.242,35017.434,36130.367,36396.777,35897.508,39817.15,41221.414,42514.062,43446.562,43849.695,42371.11,42467.727
28338.062,27969.861,27638.03,27583.865,27535.072,27655.172,27824.236,27515.16,27967.38,28516.135,28575.535,27559.965,30157.666,30954.85,33519.45,33754.082,33394.684,32314.266,33678.727,32979.156,30853.63,30797.096,29549.2,28716.809,28430.836,28157.316,28122.955,27394.533,27630.281,27356.58,27504.328,28386.295,28448.82,28408.436,28841.074,28559.328,29605.277,28911.71,33438.977,33018.957,30837.678,33672.395,33921.434,33365.562,32676.36,32251.086,28600.484,28691.287
34326.27,34032.04,33620.715,33559.336,33380.777,33404.21,33359.465,33185.938,33597.81,33502.38,34089.426,33520.758,34603.137,34892.277,38327.3,38805.38,39190.82,38588.87,39903.223,39749.816,37895.645,38014.062,37355.734,35660.367,34385.645,34332.36,34092.74,33278.066,33502.68,33168.008,33166.484,33763.883,33423.42,33464.965,33800.156,33826.48,34509.1,33857.902,37776.543,37714.55,36076.297,39631.26,39950.715,39555.8,39868.664,39656.29,35104.86,36546.875
420.28702,411.92773,411.42825,411.50354,408.23077,409.064,407.41885,406.21097,408.14572,408.38342,410.89212,407.68848,412.651,412.97305,421.41434,426.68735,424.1643,426.06927,434.12738,431.90097,427.51025,436.00525,432.2271,428.62955,419.42816,413.34998,411.77518,410.68643,411.40616,409.00262,406.8713,410.3917,409.87006,408.16528,409.57233,410.09247,412.55167,409.07953,419.0916,421.1235,413.03693,430.843,435.66287,437.76776,440.08234,439.53717,430.99875,431.7395
29153.473,28701.348,28644.078,28668.459,28635.62,28843.191,29604.123,29329.95,29363.56,30633.44,32016.34,29701.97,33887.707,34489.63,35670.26,35695.527,35227.047,34055.363,34543.76,33586.336,31799.29,31141.902,29574.223,29410.014,29170.104,29058.676,28954.934,28546.129,28755.854,28239.465,28643.898,29581.85,30696.016,30407.377,32580.887,32045.21,34326.17,30007.479,36196.58,35440.73,31619.328,35068.2,35215.477,34212.426,32223.535,31340.387,29278.914,29419.666
7804.6685,7716.981,7600.206,7587.439,7553.5947,7594.075,7692.215,7541.624,7683.158,7842.5825,7868.747,7514.9673,8356.668,8597.996,9346.144,9442.387,9372.67,9069.822,9473.092,9271.2705,8675.685,8633.251,8240.14,7935.104,7831.3374,7772.8887,7747.798,7512.28,7593.0303,7483.067,7537.5234,7815.238,7826.895,7822.2485,7937.2153,7855.7974,8218.894,7959.6304,9333.325,9231.073,8390.754,9459.484,9541.979,9400.164,9202.056,9047.456,7896.6626,7922.6406
549.22296,543.27075,536.84094,533.7982,535.75226,539.178,539.285,536.06116,546.2193,551.69965,555.5355,557.5379,565.9025,580.8917,573.4087,578.8162,569.22614,558.93176,612.15186,566.49567,554.3517,561.45514,551.92535,551.63275,542.45294,536.6704,546.6662,531.7925,538.7932,534.1655,538.09814,552.48645,550.9973,551.70807,558.87463,555.6622,557.79126,563.7272,604.05365,609.93414,627.11835,614.23773,621.07434,637.39185,568.10156,577.2358,553.90173,552.3154
162.22314,155.95772,155.01941,154.98373,151.92876,153.21451,154.02101,150.54567,152.37407,153.4534,154.69423,152.3871,156.45157,156.97343,165.74324,168.61803,169.51532,171.66844,178.0653,176.88278,173.84816,177.28935,173.43622,172.30887,162.01166,156.29726,155.70262,154.87225,154.98279,152.24986,150.63867,154.93056,153.58417,151.88501,154.12451,154.6961,155.75868,153.13306,164.93925,166.80879,156.00154,174.72311,177.45357,179.37738,180.16994,180.2999,171.33578,171.27127
13345.005,13146.104,13028.74,13011.759,12995.293,13059.94,13113.136,13016.75,13201.031,13422.092,13455.795,13035.294,14226.299,14555.131,15838.968,15897.382,15678.744,15158.764,15753.108,15428.373,14400.916,14389.153,13849.694,13508.22,13379.888,13242.434,13226.813,12927.688,13030.229,12942.572,12983.45,13374.748,13395.447,13392.72,13596.791,13445.206,13952.804,13632.463,15760.8545,15522.77,14598.767,15770.1045,15868.817,15554.471,15246.316,15037.816,13449.151,13496.576
