V1,V2,V3,V4,V5,V6
7357.676,7349.832,7357.3955,7390.9688,7379.2773,7383.8174
1514.4575,1531.4014,1584.6539,1566.5156,1630.035,1551.9817
9003.159,9173.9,9485.845,9880.152,9983.414,10165.109
10317.436,10530.755,10860.249,11293.473,11429.238,11634.7
7648.76,7928.3867,8324.445,8901.843,8952.198,8992.213
4189.272,4342.028,4595.8047,4760.093,4821.38,4963.886
3662.2537,3774.0771,3948.354,4114.7993,4085.9717,4241.3794
2379.219,2375.2075,2381.071,2364.7058,2368.8623,2378.0278
2321.075,2346.8687,2385.8604,2412.1982,2416.169,2439.503
2265.705,2275.392,2301.249,2318.3281,2288.1948,2318.4917
1493.8491,1507.4469,1529.421,1545.209,1547.462,1557.0996
2071.018,2116.8613,2189.908,2259.525,2274.875,2313.8872
5061.9995,5133.073,5239.8145,5482.2783,5468.4614,5613.495
5422.0117,5480.5376,5641.74,5781.8154,5845.4976,5992.025
5835.658,5912.7344,6210.643,6316.4956,6492.5605,6694.628
2701.0667,2701.5222,2695.753,2759.4067,2712.8132,2787.7822
4100.3086,4147.025,4271.812,4391.2207,4401.6807,4575.635
3315.9165,3330.1116,3353.4312,3423.7056,3401.0017,3491.453
3226.6553,3496.1018,3812.4336,4208.211,4296.771,4363.776
6662.4443,6792.249,6984.8735,7224.2207,7318.49,7420.282
9881.023,10262.493,10801.1875,11439.029,11696.314,11925.787
4339.717,4483.3506,4712.7407,5069.235,4908.0693,5182.588
9495.842,9496.192,9787.708,10193.406,9839.024,10209.162
8453.778,8579.571,8803.574,9437.834,9000.357,9434.365
2421.3735,2509.5437,2616.901,2782.0698,2783.8147,2852.5398
7257.797,7463.6904,7783.6143,8384.607,8087.885,8599.563
1749.6389,1799.2412,1876.3113,2004.0278,1958.637,2052.4307
1692.9998,1734.8606,1800.1284,1917.2192,1862.1829,1958.9517
4136.85,4175.6924,4253.6533,4344.627,4291.626,4389.366
4629.78,4730.033,4907.877,4983.1387,5028.5415,5141.2056
3615.4912,3607.446,3628.4668,3584.8535,3617.4678,3594.4878
5448.1636,5519.366,5635.7007,5714.2783,5724.337,5800.856
1294.5474,1316.7214,1346.8308,1354.7131,1359.1051,1377.7603
1706.6111,1735.8263,1765.8757,1773.5468,1772.5697,1791.888
3448.2615,3511.331,3613.684,3684.449,3702.6943,3769.595
1161.5476,1173.8055,1192.3418,1202.2502,1202.2888,1215.6532
4018.7222,4089.9495,4209.6753,4295.6562,4315.0156,4390.6875
4844.984,4782.2563,5041.262,5225.4785,5632.4414,5382.0312
3975.1387,4089.002,4279.729,4379.4565,4509.5757,4465.3354
5110.427,5223.4385,5421.689,5702.1157,5826.6675,5897.2173
