V1,V2,V3,V4,V5,V6,V7,V8
6891.0186,6845.445,6821.216,6821.255,6906.113,6862.1235,6911.504,6906.739
7125.6694,7134.6646,7106.922,7082.0493,7135.5513,7145.262,7218.189,7143.653
7209.1655,7197.0107,7189.2827,7152.3843,7217.1997,7227.731,7269.9023,7216.272
7722.256,7737.1777,7717.639,7693.742,7729.6826,7758.2637,7793.502,7733.8374
1065.3241,998.7182,1140.2152,1265.8093,1060.0607,998.0606,1117.6703,1242.9357
9895.178,9897.277,9930.907,9978.151,9989.245,9946.572,9986.166,9981.6875
3354.0117,3353.7842,3350.2065,3362.3623,3369.8047,3364.9731,3350.4775,3359.5564
2622.9924,2618.4668,2628.3035,2648.0789,2649.0159,2628.8025,2642.097,2644.8557
2499.1865,2496.5186,2499.588,2509.065,2513.0088,2506.162,2504.8364,2507.311
2532.1638,2524.073,2547.5894,2542.1438,2529.7627,2525.9006,2543.3035,2542.094
1155.3527,1155.3256,1150.3217,1149.5247,1153.5856,1154.681,1150.6392,1150.2246
3238.2734,3118.2886,3225.544,3351.9346,3251.774,3063.5115,3271.0615,3345.8845
1782.965,1788.3647,1794.2814,1801.2816,1811.0604,1802.9897,1818.1599,1809.8458
12476.958,12491.92,12586.029,12776.996,12727.806,12552.543,12772.141,12621.608
1234.3009,1238.2852,1316.7626,1322.8673,1242.9613,1240.43,1299.0725,1330.515
2072.5986,2082.1287,2145.883,2129.9993,2112.979,2135.7405,2169.6926,2138.5483
2483.74,2494.664,2482.197,2526.1455,2509.3096,2518.6653,2491.7056,2507.8945
4700.116,4688.2686,4815.3926,4778.372,4743.5757,4702.1724,4809.2188,4803.9883
5821.8926,5840.3643,5865.82,5927.255,5932.385,5913.454,5931.213,5913.8364
6348.7866,6361.0435,6367.615,6446.9497,6418.5566,6415.853,6386.951,6420.7393
9764.29,9771.003,9803.47,9908.767,9877.196,9864.485,9838.32,9872.263
5011.14,5002.9536,5120.549,5195.8037,5004.6836,5007.057,5077.3467,5134.298
5990.8325,5946.8257,6019.8213,6090.526,6035.005,5928.8066,6048.487,6079.273
2337.5386,2337.5466,2345.4724,2337.1443,2342.0173,2320.8591,2351.6533,2340.1003
1371.3126,1373.597,1381.1523,1371.5428,1370.7954,1369.4287,1382.6177,1370.3153
7475.0166,7479.206,7646.46,8462.523,7403.814,7461.53,7668.964,8137.244
9183.092,9189.507,9192.702,9179.501,9193.624,9107.246,9183.51,9206.8125
4952.6235,4962.2285,4935.765,4934.5264,4988.128,4971.322,4982.6416,4914.0957
1946.1846,1939.5016,1898.4929,1881.084,1950.2551,1941.979,1903.7618,1925.4824
3102.6077,3104.0813,3076.191,3083.7935,3095.803,3096.9043,3079.9788,3086.6855
2494.5059,2487.3909,2490.5176,2475.1187,2488.1033,2486.0947,2492.758,2468.6316
4776.702,4759.7617,4740.27,4725.589,4806.1763,4778.8545,4782.7886,4752.1606
8314.245,8349.707,8334.356,8327.894,8377.303,8369.171,8387.052,8340.769
7199.148,7231.8057,7227.087,7218.557,7228.5405,7223.0386,7251.247,7193.25
10068.345,10169.548,10115.39,10002.363,10087.919,10179.863,10129.397,10027.736
9084.684,9056.507,9076.709,9129.985,9141.936,9073.843,9110.283,9097.381
4397.515,4382.0044,4357.2803,4412.3535,4391.1357,4340.8203,4376.525,4363.7803
6319.4165,6264.2056,6280.5435,6356.908,6317.2563,6238.386,6326.414,6278.994
5520.861,5574.165,5938.269,5805.767,5531.6353,5538.7427,5825.7725,5768.8965
5264.0967,5280.63,5262.929,5282.8286,5293.478,5302.477,5295.519,5274.0474
1901.6963,1900.605,1900.419,1897.3292,1908.6014,1899.2819,1896.4294,1904.0271
2108.4858,2102.498,2098.2307,2100.4866,2122.8354,2099.135,2111.811,2106.794
5477.409,5494.0283,5470.984,5522.9624,5512.2705,5530.6973,5509.199,5497.759
1290.1575,1294.9397,1280.3853,1284.9004,1302.2444,1302.525,1289.2402,1288.248
1918.7642,1918.4226,1920.539,1914.281,1928.8103,1918.0161,1918.195,1921.2963
