V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37590.562,37700.992,37802.086,37814.984,37795.03,37827.047,37792.863,37843.14,37838.562,37805.746,37831.54,37660.023,37629.78
3751.4934,3758.64,3779.176,3779.9487,3774.1458,3777.8994,3771.508,3780.1802,3778.4485,3775.575,3779.7383,3760.5823,3761.272
9591.096,9539.148,9545.867,9511.874,9544.269,9530.336,9496.105,9526.763,9486.909,9542.204,9513.506,9575.4795,9545.142
2278.142,2329.4321,2301.2427,2313.1213,2357.6003,2361.157,2421.5713,2426.6099,2483.3562,2441.6323,2429.7517,2380.7466,2399.4912
1717.181,1825.1284,1799.7186,1751.2443,1818.9142,1810.4213,1774.2325,1824.8893,1676.2595,1691.8323,1692.9401,1657.0188,1616.6324
565.004,578.09625,577.2664,601.0738,595.8067,592.9349,603.9715,601.5521,621.1211,583.2287,581.0596,559.8108,563.2226
2850.864,2822.7825,2875.6936,2850.1638,2959.0754,2951.2888,2927.0293,2974.3225,2828.9348,2832.3777,2802.0928,2779.6453,2719.3008
2294.6355,2272.2522,2265.3123,2287.8174,2248.2502,2291.632,2290.1394,2317.9531,2249.1736,2239.2893,2235.511,2179.8389,2136.6763
6108.5723,6067.7505,6032.7676,6127.9233,6048.2163,6051.2593,6081.89,6057.4053,6102.0747,6039.8154,6000.3916,5965.6094,5948.166
4840.458,4775.862,4814.5464,4816.8647,4833.818,4854.2827,4861.008,4848.5347,4838.42,4840.467,4818.432,4838.09,4837.446
409.10687,423.08917,418.49805,417.65234,414.7144,412.92947,409.4567,410.59476,411.99445,408.93475,412.31757,406.97678,407.59207
1043.7164,1042.4596,1045.873,1044.6765,1046.8484,1052.2311,1048.7122,1046.926,1041.9594,1035.8408,1031.3278,1023.7123,1033.2817
2181.6858,2167.253,2156.9187,2156.0115,2167.0024,2162.5144,2165.0151,2161.1462,2157.9795,2162.85,2159.5127,2188.6028,2181.2346
2197.1167,2172.078,2164.3376,2160.9424,2170.218,2167.404,2168.4604,2170.2512,2163.764,2170.2285,2167.6038,2190.3696,2175.0635
3404.7766,3229.2012,3198.3826,3194.0325,3266.8567,3248.9949,3251.194,3237.7883,3182.4097,3203.8354,3149.6853,3284.9946,3240.9504
3404.7766,3229.2012,3198.3826,3194.0325,3266.8567,3248.9949,3251.194,3237.7883,3182.4097,3203.8354,3149.6853,3284.9946,3240.9504
11881.595,11815.8,11866.594,11878.638,11907.232,11932.289,11951.474,11954.527,11935.249,11950.327,11929.501,11950.521,11935.519
4451.895,4492.009,4459.1665,4460.918,4453.7896,4445.6577,4447.3413,4454.965,4446.2817,4452.372,4466.4106,4461.171,4458.1504
2853.6785,2890.0947,2878.7395,2856.1038,2996.0295,3055.332,2963.0737,3116.9038,3128.9219,3218.4783,3100.3572,3119.1853,3019.254
4354.028,4413.7993,4430.311,4428.089,4532.023,4627.1006,4574.572,4757.066,4603.8574,4648.8975,4595.3843,4476.726,4383.6436
2037.5048,2095.0623,2052.5645,2017.3789,2066.5723,2039.0599,2035.7175,2066.4575,1994.8088,2036.5767,2005.3362,2034.4185,1983.9015
