V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1996.1375,1991.2761,1993.3281,1993.34,1993.6567,1992.7113,1994.2543,1992.1589,1996.7129,1997.2983,1997.7922,1997.9347,1997.4119,1995.9104
2999.2964,3000.5876,3005.8455,2998.3474,3005.5564,3007.4404,3012.1345,3011.0789,3012.7136,3012.318,3012.5337,3012.6104,3010.76,3008.7605
1096.0305,1090.5116,1099.9716,1084.2991,1097.6301,1098.3727,1106.8315,1101.4005,1110.306,1108.4539,1111.5963,1111.9496,1108.326,1101.1013
1147.3566,1123.5764,1148.2235,1124.1881,1128.7286,1147.8927,1174.1337,1183.4296,1206.7461,1199.2542,1212.8428,1218.209,1214.7295,1204.0153
5714.8325,5694.219,5701.4375,5710.785,5702.3096,5696.7236,5694.2017,5687.4062,5705.6846,5710.8486,5713.9946,5715.0366,5714.0063,5706.9146
3041.563,3027.1292,3026.9116,3060.498,3024.2822,3033.311,3033.0156,3037.1453,3056.0776,3067.4866,3066.4766,3070.3877,3072.381,3076.9236
4214.3193,4198.836,4167.563,4221.589,4195.7944,4152.1714,4090.0933,4011.188,4044.3691,4042.4905,4007.6946,4037.833,4062.0662,4030.0264
1692.7655,1684.6321,1686.7683,1691.0648,1685.9152,1686.1919,1685.7936,1685.0111,1692.262,1693.41,1694.0901,1694.6981,1694.9159,1693.0042
1551.4454,1544.3851,1546.2258,1549.9423,1545.4402,1545.7579,1545.4534,1544.8452,1551.1323,1552.1329,1552.7346,1553.2698,1553.4633,1551.8184
2547.0425,2533.9263,2535.7668,2544.9873,2535.8665,2538.2542,2530.0862,2529.1504,2537.2664,2537.7341,2537.5693,2539.768,2543.26,2536.259
2408.3618,2407.2004,2405.8677,2410.8848,2404.2139,2405.3772,2400.4194,2401.6145,2401.3318,2401.8428,2401.525,2402.6716,2406.6216,2407.2903
3531.2144,3520.166,3522.2463,3529.6738,3523.1443,3521.4087,3511.0972,3508.7434,3516.814,3517.8105,3518.2363,3519.7656,3522.4126,3513.5571
6897.9106,6871.0146,6881.9937,6886.8374,6884.594,6874.738,6854.908,6837.9917,6873.5312,6873.03,6879.109,6875.2964,6875.238,6841.4854
5472.0244,5430.8135,5454.6943,5457.6436,5450.9297,5440.8203,5452.179,5432.687,5472.0273,5480.7183,5486.7935,5493.711,5487.0938,5473.0044
5714.5137,5567.957,5571.618,5685.717,5576.9043,5517.286,5426.7437,5365.0693,5532.5127,5579.647,5600.6587,5635.893,5641.643,5559.5493
3074.4768,3075.176,3075.2063,3074.575,3075.0845,3073.578,3072.8496,3070.8113,3072.6428,3073.9866,3073.8213,3074.4407,3074.6377,3073.948
3902.2603,3894.5056,3896.1565,3899.8025,3897.0337,3891.2207,3883.5173,3880.649,3886.4011,3889.9678,3892.8376,3893.9004,3893.023,3883.2222
9527.917,9524.314,9522.539,9526.116,9519.435,9523.793,9518.361,9526.734,9525.378,9523.1045,9522.796,9523.948,9527.221,9528.828
2517.6055,2490.1929,2500.9111,2507.2493,2495.7476,2491.8564,2497.9233,2492.0505,2515.3901,2522.0935,2526.834,2528.6138,2525.8062,2516.9739
10944.244,10959.144,10955.102,10951.38,10956.166,10954.953,10948.685,10945.677,10920.25,10912.749,10906.119,10901.99,10904.154,10909.357
2505.644,2478.224,2489.018,2494.9414,2483.8298,2480.0825,2486.2227,2480.2314,2503.7537,2510.3528,2515.1523,2516.8862,2514.0679,2505.0967
2754.6428,2717.21,2723.674,2739.2952,2722.6838,2726.6714,2733.7207,2728.5847,2762.6396,2768.1233,2768.2966,2769.6482,2769.3914,2764.0977
1897.2681,1889.8553,1890.3467,1894.5818,1890.146,1893.6602,1900.3055,1902.307,1910.2257,1911.4686,1910.2239,1909.8206,1909.9712,1910.3748
2464.7544,2431.7493,2437.499,2450.8425,2436.5347,2440.2002,2446.9065,2442.6304,2472.7122,2477.577,2477.7214,2478.9597,2478.6912,2474.1223
1570.9767,1564.4077,1565.573,1567.2207,1565.4147,1568.3168,1575.0862,1575.1188,1582.1442,1583.009,1582.5066,1582.3428,1581.9147,1581.8103
2283.8643,2251.807,2258.4512,2268.0151,2258.0952,2260.552,2268.3457,2261.9546,2291.1304,2295.3909,2296.2083,2297.4895,2296.5461,2291.308
1697.2466,1691.2971,1691.6747,1695.0757,1691.5131,1694.5934,1700.804,1702.8069,1709.5054,1710.5856,1709.4756,1709.169,1709.268,1709.6987
438.85275,442.72427,439.29257,443.72574,439.29486,439.90582,433.49603,439.28143,428.9837,429.73645,427.03534,425.8079,428.91077,435.28168
6199.0923,6173.263,6174.892,6202.712,6170.762,6169.5786,6162.4927,6160.6787,6179.1416,6195.8374,6197.9395,6204.3438,6204.689,6200.4585
630.69165,636.25543,631.32404,637.6948,631.3271,632.2049,622.9927,631.3073,616.5082,617.58984,613.7081,611.944,616.40356,625.5591
2052.8608,2049.44,2048.5327,2053.2944,2049.409,2047.9108,2042.2527,2041.488,2036.1818,2037.1847,2035.7014,2032.7231,2034.795,2035.0104
1861.8699,1858.7659,1857.9418,1862.2605,1858.7357,1857.3782,1852.2397,1851.5455,1846.735,1847.6398,1846.2942,1843.5957,1845.476,1845.6671
6626.7627,6619.497,6622.32,6620.7056,6626.241,6621.5605,6609.7583,6590.273,6597.7544,6590.0923,6590.526,6581.882,6580.9253,6574.1006
2179.5981,2156.247,2164.8296,2164.4456,2166.5608,2167.581,2182.8032,2169.9814,2194.9702,2198.0386,2197.9153,2197.608,2194.3013,2192.7095
1656.7611,1660.5527,1656.094,1662.9779,1655.511,1658.8223,1649.3921,1656.7788,1650.6018,1650.8359,1647.4867,1644.4935,1649.5701,1656.0205
3761.9917,3763.2659,3761.7637,3764.4788,3762.0789,3761.3987,3759.0095,3758.489,3750.1558,3750.5737,3747.8552,3746.0393,3746.9893,3749.976
2476.2468,2464.3455,2471.7368,2466.5898,2473.6143,2471.1372,2480.3008,2482.7625,2486.2483,2489.7075,2491.3896,2492.8477,2491.255,2487.3767
2307.1177,2303.4104,2307.919,2306.5454,2305.3623,2313.6267,2327.4119,2329.7625,2337.0918,2339.4824,2339.3276,2337.0496,2336.3274,2336.7737
2191.956,2177.2139,2176.334,2192.1526,2175.7769,2167.4885,2127.1326,2120.1804,2125.2825,2132.364,2129.549,2133.0496,2140.028,2127.3928
3721.2358,3710.221,3711.4038,3721.2576,3709.0479,3698.1418,3690.537,3690.6467,3698.727,3709.2546,3714.7285,3714.5984,3716.631,3708.3545
5848.404,5819.45,5786.0293,5861.449,5794.276,5797.9297,5682.188,5678.8667,5696.6177,5707.329,5685.1636,5679.4453,5715.8716,5715.3384
6914.425,6878.3843,6901.9556,6900.1978,6905.1235,6880.7227,6914.052,6897.88,6937.268,6957.8535,6965.2144,6972.8906,6965.2397,6952.061
1126.023,1125.4874,1127.3904,1124.4601,1127.0511,1125.7241,1127.8344,1126.4719,1128.1488,1128.7811,1129.8589,1130.5557,1129.7069,1128.7411
8673.808,8699.822,8690.127,8696.5205,8689.2295,8699.384,8694.826,8704.806,8687.336,8679.837,8671.313,8666.05,8673.209,8690.782
1114.6108,1113.4415,1114.1248,1113.5376,1114.3068,1114.0188,1114.4465,1113.3243,1114.5321,1114.6898,1114.776,1114.9338,1114.4761,1113.6691
10207.679,10192.321,10207.488,10193.001,10204.067,10206.191,10240.275,10232.7705,10253.719,10259.878,10260.162,10262.871,10257.081,10252.7295
1022.5364,1023.0266,1023.03815,1022.3359,1022.6685,1023.78705,1024.999,1025.9991,1025.8323,1025.2781,1025.6753,1025.8444,1025.9369,1026.0598
10551.919,10553.8545,10569.67,10536.703,10565.062,10555.604,10579.928,10572.256,10582.455,10587.462,10596.687,10601.395,10593.71,10586.68
11111.502,11110.017,11127.966,11095.666,11124.802,11113.141,11137.111,11126.182,11139.796,11145.586,11155.665,11161.162,11152.968,11144.447
10035.809,10031.287,10044.475,10031.7,10036.979,10041.522,10077.285,10077.882,10090.227,10095.08,10097.5625,10099.653,10095.716,10093.858
1031.3519,1030.5383,1031.9443,1030.542,1031.4419,1031.6754,1035.2322,1034.7731,1036.4478,1037.021,1037.2139,1037.4043,1036.9047,1036.5836
3064.0403,3092.2793,3090.3696,3069.2495,3088.2024,3089.0354,3095.576,3098.9885,3086.111,3083.7883,3080.2666,3081.5273,3075.7712,3086.8245
1100.8408,1099.892,1100.3215,1100.2332,1100.5051,1100.3378,1100.4363,1099.4889,1100.6707,1100.7286,1100.8257,1100.844,1100.549,1100.041
