V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
636.37964,632.38696,633.20197,632.8534,636.0742,632.944,633.0713,632.43445,633.42975,642.83636,638.0827,638.1613,636.7164,646.80853,633.10376,666.3871,639.69,634.9192,635.8305,633.82947,643.2151,635.5741,632.92957,634.5344,636.1269,632.8259,634.92584,632.9883,633.1787,633.124,634.6194,633.971,636.89294,641.763,636.9051,633.82434,635.0726,639.0136,643.21344,649.86865,640.088,652.3417,694.56445,662.6291,673.0023,662.4291,639.19366,632.631
2802.004,2793.1306,2795.1094,2797.7598,2803.6436,2794.968,2795.1313,2793.4543,2795.0896,2836.5737,2812.6553,2813.9026,2804.35,2808.665,2792.714,2892.9941,2804.1748,2800.6768,2800.1194,2799.2368,2829.15,2802.0127,2795.4211,2803.7017,2804.1416,2794.3333,2797.3887,2795.0715,2797.1733,2794.691,2806.6726,2797.3965,2807.601,2828.3943,2807.305,2798.942,2799.4868,2810.5479,2817.3984,2828.7222,2812.159,2842.2512,3037.0493,2914.5117,2955.6353,2911.563,2814.2537,2802.9656
1092.121,1082.596,1083.0466,1082.9531,1089.4524,1083.6587,1083.0472,1095.7678,1088.0057,1137.681,1093.0201,1087.643,1114.8687,1103.6246,1082.5813,1119.059,1094.9554,1087.7856,1095.1769,1093.7262,1103.6224,1091.9723,1084.4264,1098.6431,1102.6853,1089.8391,1101.4924,1084.928,1098.385,1083.1433,1082.6154,1084.0823,1095.1355,1102.2001,1095.8307,1083.6958,1089.6373,1092.4598,1094.4879,1097.2996,1095.4408,1120.9952,1167.2922,1163.2273,1169.1674,1150.3602,1096.3898,1082.6376
4625.4194,4624.4575,4614.1294,4616.226,4635.3003,4614.4556,4614.959,4612.0005,4621.4395,4727.938,4658.23,4658.288,4626.2188,4615.672,4612.02,4637.078,4623.497,4650.975,4636.4355,4620.1685,4785.8867,4625.0337,4615.6562,4740.406,4742.9834,4633.6543,4651.2144,4636.755,4717.798,4613.3286,4614.0645,4620.4004,4671.2793,4666.965,4622.771,4629.244,4622.4707,4636.0728,4626.3984,4625.5146,4622.2773,4630.838,4910.33,4723.0205,4899.6553,4874.744,4652.7114,4634.36
2385.2993,2377.512,2346.9666,2349.0635,2386.711,2355.2642,2342.5725,2355.6133,2363.6853,2615.8203,2389.4568,2366.8313,2407.8965,2354.2578,2339.689,2397.6304,2415.4214,2382.355,2386.9543,2383.2444,2585.5823,2368.9312,2357.8923,2495.9614,2514.3247,2414.1733,2500.5955,2374.0383,2471.4219,2350.4797,2338.7837,2351.0176,2382.2239,2412.315,2374.4224,2343.94,2358.2554,2381.1733,2353.3083,2387.8643,2386.2964,2507.6453,2614.323,2662.25,2712.4382,2654.5103,2420.5645,2342.9626
6085.096,6043.103,6059.1064,6044.9844,6059.812,6061.7114,6064.468,6082.8286,6061.313,6054.0776,6122.7075,6050.806,6056.6396,6263.847,6071.812,6205.6694,6093.1045,6046.276,6066.354,6051.2144,6046.118,6064.3833,6076.7935,6041.562,6050.168,6043.1265,6046.049,6053.679,6059.2354,6052.8315,6063.7104,6057.7114,6134.757,6069.0757,6044.188,6217.704,6077.8193,6083.2734,6412.1035,6145.5127,6103.2734,6115.434,6096.94,6088.4414,6040.0967,6040.799,6057.0024,6053.499
36661.98,36595.395,36341.297,36381.77,36619.07,36389.71,36305.816,36339.832,36456.266,38261.25,36752.324,36543.98,36699.65,36357.72,36283.34,36452.38,36799.258,36670.18,36709.242,36710.69,37952.81,36593.07,36428.004,37505.918,37633.617,36746.973,37399.95,36648.42,37623.4,36324.457,36268.76,36384.555,36674.105,36933.18,36667.457,36435.05,36516.582,36640.934,36414.227,36474.996,36655.58,37287.914,38438.953,38565.89,39530.15,38910.56,36964.883,36309.85
29113.72,28942.363,28962.336,28955.24,29146.125,28958.541,28981.49,29120.88,29008.07,29566.027,29190.146,29137.074,29308.525,29934.252,28943.742,30810.385,29134.89,29040.574,29109.17,28992.54,29445.918,29075.436,28958.11,29088.273,29051.584,28960.77,29057.441,28975.89,28980.566,28967.477,28990.918,28994.201,29203.637,29342.803,29105.21,29005.414,29047.602,29238.59,29996.625,29759.797,29205.1,29866.47,31544.887,30742.562,30426.2,30136.572,29191.44,28933.818
34874.305,34794.363,34807.836,34805.098,34907.125,34808.137,34807.625,34809.145,34823.43,35286.93,34953.285,35007.164,35010.25,34971.316,34788.99,35932.02,34884.188,34890.406,34921.215,34839.344,35355.688,34881.695,34799.023,34997.47,34959.87,34812.3,34859.69,34822.492,34842.69,34798.98,34880.44,34831.16,34913.75,35148.84,34918.35,34827.72,34866.9,34988.34,35116.957,35188.355,34988.24,35321.457,37112.5,36110.938,36387.914,36052.043,34984.03,34865.63
415.56607,413.72754,414.0662,413.7837,414.93604,413.92584,413.73587,415.39175,414.69504,422.2417,415.61896,414.2072,420.21118,418.0429,413.6987,421.85016,415.0798,415.1879,415.55844,415.85413,419.7761,415.26367,413.98807,416.1523,419.18405,417.19672,417.73724,414.19846,416.25797,414.31995,413.5102,414.06393,415.3409,417.04553,415.5626,414.1087,414.13043,414.9166,414.54977,416.18625,415.3356,420.12408,427.5898,427.10834,428.40347,425.8287,415.9373,414.4116
30108.127,29724.68,29857.873,29731.441,30076.33,29849.266,29840.625,30258.002,29980.525,30440.307,30226.164,29940.617,30367.246,31801.576,29877.197,31990.865,30639.678,29838.312,30054.012,29871.332,30466.268,29963.477,29939.215,29751.506,29759.06,29724.484,29801.887,29778.348,29759.074,29780.781,29760.418,29814.338,30303.932,30244.957,29866.562,30280.363,30043.293,30173.85,32150.102,31176.986,30298.953,31431.71,32074.408,31847.812,30992.018,30726.22,30104.986,29732.89
8053.38,7987.3887,7994.481,7989.2754,8064.579,7992.92,7998.026,8054.795,8021.48,8216.188,8069.8657,8051.9707,8121.5977,8330.602,7986.9463,8601.107,8081.378,8023.546,8054.043,8003.4062,8194.346,8038.0234,7997.3574,8042.8447,8031.3965,7998.157,8035.7676,8001.687,8001.8696,7993.927,7995.0166,8002.939,8077.6694,8127.6807,8044.7783,8007.6646,8028.1846,8091.2285,8343.692,8296.35,8088.5234,8347.512,8816.457,8620.111,8514.061,8410.118,8088.0737,7982.1436
553.9545,555.26,553.5305,555.6615,555.136,559.7871,553.944,559.3239,552.8072,559.26324,560.4904,556.0314,552.51416,586.10266,552.8573,580.2451,553.2958,556.87866,553.07806,556.1867,553.989,554.8501,556.76996,553.2591,554.82227,553.5037,554.8653,557.5786,555.5121,553.7032,558.558,555.0613,563.05707,555.2195,558.5342,557.3019,553.8455,558.3426,564.84827,564.79486,556.7834,556.74274,601.6005,581.2241,554.92096,558.5845,556.96967,553.1715
158.94044,157.6128,157.54799,156.98544,158.7434,157.7567,157.05736,158.51291,158.05327,165.70134,158.52382,157.82053,161.29068,161.18707,157.11188,163.03098,161.00089,158.38533,158.75241,158.86394,163.40884,158.73734,157.96599,160.07133,161.54846,159.18263,162.02061,157.47737,159.6254,157.48581,156.90295,157.9298,158.60811,159.75185,158.83217,157.05574,158.13953,158.67322,158.4865,161.12764,159.07434,164.43654,168.77419,168.57115,169.74727,167.60587,159.84378,157.03165
13688.878,13613.335,13622.088,13625.524,13697.086,13620.981,13632.073,13694.151,13639.12,13880.5205,13727.139,13701.365,13783.782,14012.677,13613.95,14446.86,13692.176,13652.294,13684.955,13636.162,13816.334,13672.003,13617.011,13674.223,13651.559,13618.833,13647.996,13626.831,13630.0,13626.141,13642.8545,13636.878,13733.127,13792.933,13677.465,13641.129,13664.613,13743.173,14107.679,13947.238,13730.164,13997.366,14784.305,14373.922,14250.328,14121.895,13710.584,13613.3955
1214.3678,1212.169,1213.3539,1213.6697,1216.4619,1213.2065,1213.728,1212.4362,1213.3866,1229.5873,1220.0511,1221.1415,1218.0044,1214.833,1212.594,1235.4792,1215.8671,1216.021,1217.4786,1214.338,1230.5151,1215.2484,1214.6329,1218.6829,1219.1941,1212.4946,1213.9719,1213.1599,1214.8165,1213.2881,1217.1558,1213.584,1218.3247,1224.7812,1217.8339,1215.7047,1214.9338,1217.644,1219.8835,1220.7148,1218.8944,1225.4834,1299.164,1253.5922,1271.5249,1259.5873,1218.8994,1219.1418
50502.324,50362.777,50381.258,50409.95,50526.94,50395.992,50398.594,50372.484,50390.18,51176.184,50638.125,50702.03,50557.918,50641.477,50360.664,51933.35,50470.164,50499.57,50523.656,50453.305,50848.45,50468.9,50396.324,50572.043,50590.75,50387.043,50444.99,50392.945,50433.22,50375.242,50556.062,50436.68,50578.203,50892.465,50613.902,50449.81,50445.906,50623.496,50690.85,50800.023,50626.883,51115.023,54049.18,52496.996,52716.508,52214.594,50635.01,50496.19
29255.553,29057.512,29077.299,29080.393,29207.508,29067.145,29104.33,29113.902,29166.855,29585.656,29328.621,29190.54,29450.805,30269.678,29069.264,30767.752,29423.988,29113.367,29220.38,29110.129,29396.691,29199.72,29092.217,29086.377,29166.271,29099.35,29157.656,29077.633,29086.898,29084.8,29106.73,29109.568,29351.176,29496.873,29245.97,29133.318,29167.8,29333.363,30001.764,29942.408,29440.414,29999.598,31400.83,30655.604,30494.084,30029.674,29309.21,29043.04
2218.788,2210.2783,2210.7993,2214.6418,2215.8264,2210.3271,2210.5195,2211.2122,2213.3296,2240.3645,2231.9753,2217.5786,2232.913,2318.534,2209.44,2342.316,2218.695,2213.6523,2214.839,2213.0398,2218.0415,2215.1516,2209.86,2208.229,2213.6572,2210.016,2212.5786,2214.8179,2210.3228,2210.3752,2215.6443,2212.7769,2232.1565,2236.977,2222.0183,2214.3682,2213.2405,2225.2585,2285.5112,2259.8271,2232.3591,2262.3684,2388.5422,2314.7832,2283.6287,2259.1711,2219.8345,2208.3523
6477.119,6447.49,6450.91,6464.814,6464.887,6447.3447,6449.094,6443.7656,6459.205,6540.6562,6519.2983,6470.825,6486.843,6736.312,6445.8813,6829.765,6465.457,6458.645,6453.727,6456.865,6455.8936,6460.1606,6447.835,6440.727,6461.193,6448.2646,6454.5273,6470.274,6450.6123,6450.219,6470.3213,6458.7163,6515.6284,6531.6094,6484.1724,6462.0835,6455.0674,6486.9897,6576.127,6574.307,6506.4688,6557.8286,7003.88,6744.677,6656.6553,6570.1157,6480.162,6442.8726
15283.614,15135.513,15151.713,15139.771,15257.789,15162.253,15166.212,15228.537,15227.36,15521.398,15300.527,15224.317,15473.543,15872.38,15160.358,16209.5,15548.141,15168.06,15280.693,15179.22,15552.162,15263.777,15177.867,15205.489,15236.3545,15206.684,15248.663,15160.368,15156.386,15151.622,15150.258,15161.797,15322.222,15416.392,15249.868,15180.967,15259.877,15334.424,15922.133,15850.236,15406.389,15916.836,16521.846,16215.129,16188.684,15911.491,15337.861,15135.092
605.7683,604.36487,603.64764,601.64044,605.55225,604.1251,602.3442,606.46783,604.0986,620.3916,604.3306,603.1904,609.7963,610.5572,602.6514,612.39905,611.9137,604.35077,605.4382,605.5472,616.3489,604.776,605.05054,608.33716,611.1887,606.4092,611.916,603.65857,608.384,603.9282,601.108,606.18896,604.7388,606.6131,604.71893,601.30707,603.95056,605.30676,604.9643,610.8143,605.845,618.1538,621.80054,624.6481,624.92664,620.3717,607.1077,601.64307
261.56674,258.75708,259.1929,259.22867,260.91232,258.98425,259.02542,259.42157,260.1909,264.58926,261.4782,261.23224,263.75714,273.0038,259.3709,277.10617,266.99722,260.41605,261.8053,260.17203,264.6689,260.5182,259.58286,259.3472,260.6741,258.56995,260.13037,259.2974,258.8245,258.63263,259.41675,259.08008,262.19574,263.99133,261.46338,259.05225,260.70572,262.50378,270.53897,271.40826,264.02267,272.9726,284.8961,277.0161,274.8802,270.77707,262.29172,258.89066
580.05963,579.9439,578.5884,580.1292,579.0011,578.5296,578.623,577.8671,577.8239,581.2373,589.48956,579.57904,577.40936,612.81665,579.6901,596.2525,581.5796,579.4811,577.5681,578.9063,577.803,579.0318,579.1946,579.3819,582.1846,577.3925,578.16534,582.00244,585.6699,578.19476,579.20154,579.42773,591.218,579.34033,579.0057,601.6567,578.8253,578.99225,628.52795,586.4418,583.4391,582.4073,579.56415,579.6177,577.16925,577.85956,579.43805,579.9115
2127.7788,2120.4858,2120.4316,2122.8423,2123.6355,2120.9592,2122.7913,2120.1475,2120.765,2162.397,2129.9814,2124.1128,2128.4539,2123.7578,2122.8257,2128.9836,2122.8354,2122.5671,2122.4297,2124.3267,2126.8464,2125.0916,2125.9377,2128.659,2125.828,2121.0315,2122.5156,2121.931,2122.5742,2120.9607,2128.017,2122.8518,2128.3726,2140.228,2128.138,2125.7002,2122.569,2124.1448,2125.594,2122.4202,2124.0227,2125.6853,2190.5872,2166.5278,2194.1194,2170.0637,2129.512,2129.3923
17188.744,16802.047,16944.316,16811.836,17144.455,16991.262,17073.625,17701.014,17102.002,18089.453,17139.023,17023.682,17809.912,18411.105,16966.139,18505.121,17858.824,17031.855,17192.32,17073.678,18200.395,17091.39,17067.13,17399.066,17332.832,17205.047,17453.344,16971.43,17083.314,17103.309,16831.596,16963.25,17209.22,17272.11,17034.668,17264.03,17124.018,17215.871,18514.674,18145.857,17254.355,18431.855,18655.057,18654.883,18457.213,18295.885,17237.42,16917.586
1854.7705,1841.6694,1842.7954,1844.4352,1851.8528,1841.8954,1843.7684,1844.4888,1846.4363,1878.9395,1856.3948,1848.4773,1866.7251,1926.7549,1842.2335,1938.1348,1865.5006,1845.0571,1851.7766,1848.103,1861.3774,1849.9731,1843.5334,1842.3629,1845.8445,1841.7461,1846.7908,1844.49,1842.9155,1843.1682,1844.7603,1844.9055,1858.9897,1869.0868,1855.2875,1846.5446,1847.6133,1857.5872,1886.9655,1885.8567,1866.2114,1909.7501,1981.171,1953.635,1929.4678,1900.6793,1859.0885,1840.5919
3579.6882,3556.3804,3559.902,3557.5315,3577.5767,3558.6536,3557.3945,3557.9036,3563.0312,3677.751,3593.2798,3587.6191,3584.6978,3566.5173,3555.8457,3606.0125,3578.8875,3580.9707,3588.7197,3574.4277,3677.874,3576.1045,3559.2126,3611.7717,3605.8396,3560.664,3581.0208,3564.4846,3592.1414,3556.9346,3560.3137,3562.4255,3583.054,3616.696,3590.934,3574.3245,3572.466,3583.6917,3573.6436,3579.0488,3586.4236,3663.086,3841.4663,3779.0532,3861.8257,3806.005,3605.2163,3579.18
5009.251,4975.279,4980.76,4976.279,5015.9683,4977.471,4980.2324,5016.4,5001.9707,5081.675,5016.6943,5019.0176,5074.6177,5170.386,4978.127,5262.311,5029.462,5003.9673,5020.4937,4986.504,5107.1797,5006.1177,4984.746,5018.012,5011.6533,4992.56,5015.4565,4980.6094,4988.1978,4977.193,4979.777,4981.0894,5018.8945,5052.339,5007.2324,4986.8994,5004.793,5031.703,5195.275,5138.9575,5037.2583,5149.9995,5381.9424,5264.343,5226.3633,5193.7373,5015.33,4973.3696
109197.13,107926.45,108121.45,107969.83,109152.82,108202.73,108061.7,109490.88,108871.45,111796.75,109217.32,108972.29,110973.24,113077.95,108132.19,115178.63,110780.61,108673.99,109275.375,108386.164,111911.984,108899.68,108420.36,109211.88,109222.99,108498.08,109209.42,108070.06,108381.484,108032.83,107987.64,108107.79,109374.22,109981.26,108832.555,108351.05,108938.5,109500.32,113492.266,112769.1,109692.89,113409.34,117386.195,115791.01,115107.8,113977.35,109475.03,107921.586
100165.2,99563.14,99630.89,99586.766,100231.11,99610.83,99642.016,100121.734,99945.375,101500.53,100253.79,100300.62,101167.41,102118.46,99564.25,104591.234,100866.91,100083.875,100295.516,99747.6,102102.91,100115.9,99657.72,100287.04,100216.66,99717.41,100139.07,99681.12,99792.22,99592.04,99636.86,99680.734,100299.445,100940.84,100132.914,99700.945,100101.83,100538.234,102543.766,102454.016,100557.92,102731.7,107154.37,104857.38,105013.44,104113.516,100440.98,99515.75
