V1,V2,V3,V4,V5,V6,V7,V8
6876.828,6849.9663,6819.493,6850.2134,6868.1353,6832.362,6833.121,6844.92
7085.1685,7087.3623,7063.9243,7071.9263,7082.6973,7076.8843,7095.057,7049.6626
7287.491,7277.636,7251.3613,7264.458,7282.257,7276.9863,7279.364,7240.408
7710.631,7714.0034,7706.1777,7699.759,7701.1724,7726.88,7727.4067,7682.4956
1047.1143,1045.9785,1132.9841,1249.3994,1108.9873,1007.89606,1158.3839,1224.0651
9889.714,9910.981,9940.217,9988.534,9997.245,9972.571,10021.128,10037.986
3343.504,3340.1458,3335.9463,3349.33,3355.0745,3354.0706,3345.9324,3365.9963
2622.4697,2628.393,2637.3264,2656.2344,2648.8801,2633.066,2657.787,2669.8154
2502.3025,2500.401,2502.2825,2517.0823,2520.033,2505.683,2513.4292,2523.7122
2541.7366,2540.3718,2553.4446,2559.4224,2550.5234,2537.7678,2553.499,2559.935
1157.8563,1152.7065,1152.9785,1156.5195,1155.565,1155.2188,1155.7452,1159.825
3212.0425,3169.6023,3257.349,3412.2715,3268.8027,3143.918,3332.8215,3403.9004
1802.1434,1809.318,1820.1355,1822.8313,1836.8394,1846.6267,1850.0768,1854.7103
12460.07,12615.24,12523.814,12690.147,12916.371,12866.303,12843.546,12928.942
1246.6129,1242.208,1288.8689,1318.248,1267.787,1248.5488,1311.7762,1320.0721
2077.0078,2096.1587,2185.9805,2181.5537,2159.3494,2173.189,2246.4827,2225.7139
2479.7285,2480.2734,2473.5908,2496.5188,2511.287,2511.2607,2508.975,2530.0813
4722.9277,4689.147,4815.4785,4836.012,4742.1104,4691.1685,4811.879,4774.6025
5824.3726,5908.241,5911.8057,5944.2124,5978.1636,5995.099,5998.3066,6011.3345
6297.422,6304.537,6328.9204,6368.604,6374.3716,6372.2896,6372.4727,6435.638
9829.57,9855.51,9911.583,9980.716,9965.739,9954.946,9975.599,10029.902
4964.4062,4979.6616,5091.152,5130.426,5089.3584,5108.3984,5164.581,5144.405
6039.416,6054.8916,6118.655,6175.17,6123.0005,6065.8394,6172.807,6182.2583
2339.3013,2338.1763,2347.1511,2347.978,2341.738,2339.3823,2353.5398,2345.2527
1366.1381,1371.3796,1379.8162,1371.6309,1365.1107,1372.5748,1376.0405,1366.7306
7857.3223,7798.17,7920.6265,8674.753,8224.335,7705.753,8107.079,8779.625
9157.835,9170.939,9213.743,9204.147,9166.167,9204.87,9183.354,9210.464
5014.348,5096.952,5038.3994,5023.771,5103.194,5176.8394,5101.144,5120.318
1896.2802,1897.9927,1892.2423,1891.0991,1900.6808,1911.2212,1893.5166,1919.7659
3104.199,3101.4387,3089.4456,3081.3442,3098.526,3103.3667,3089.0393,3094.5884
