V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37558.914,37742.0,37800.355,37825.426,37805.395,37836.277,37824.746,37870.773,37843.05,37801.562,37778.035,37651.582,37635.484
3747.5112,3764.028,3781.6846,3780.2566,3774.879,3778.0105,3775.469,3783.6372,3780.0073,3773.01,3775.12,3758.9329,3761.729
9605.752,9529.416,9536.937,9506.932,9543.498,9506.836,9474.53,9523.951,9496.034,9541.34,9521.736,9580.689,9548.254
2308.8389,2375.3884,2314.2324,2342.8447,2355.3098,2428.551,2472.4304,2447.0857,2523.733,2481.262,2477.835,2379.9675,2428.0115
1772.4607,1886.8635,1912.3551,1826.0916,1916.6223,1952.4554,1880.8976,1828.4973,1694.6398,1703.4492,1692.323,1673.8895,1653.6404
562.5902,598.94885,589.53625,627.5017,600.27106,616.4661,624.9175,620.06213,643.5239,602.99554,592.48395,558.2106,553.9455
2871.4895,2862.2283,2939.2068,2922.6064,3031.9338,3076.0254,3039.74,3024.9905,2867.298,2907.1833,2838.6545,2839.8977,2740.462
2395.9526,2312.62,2386.709,2349.892,2317.979,2431.7004,2391.3691,2388.4492,2284.975,2273.841,2261.3298,2210.1746,2155.656
6191.5513,6122.9614,6151.826,6231.196,6101.038,6158.1274,6163.949,6102.4946,6163.4146,6108.962,6048.391,6009.0454,5981.3403
4841.12,4783.154,4809.5073,4810.965,4863.0474,4868.1084,4887.321,4863.9995,4856.1255,4860.4336,4831.4883,4864.675,4846.0664
411.86703,425.54193,421.9114,421.52173,412.7947,415.36856,412.85715,410.49197,414.00946,410.70248,408.37372,404.2324,407.54892
1044.659,1043.4779,1048.8958,1046.9623,1055.0602,1062.5847,1058.8113,1050.367,1043.5502,1037.2072,1029.0671,1027.0969,1036.4794
2202.6343,2172.1223,2159.3376,2157.9094,2173.8037,2171.5623,2170.4683,2161.331,2162.9065,2173.4353,2169.2769,2195.3296,2196.1235
2221.1545,2173.1313,2165.0293,2161.8867,2176.4355,2172.361,2173.9026,2169.7183,2167.926,2177.722,2171.627,2200.0408,2184.6887
3491.7275,3238.386,3204.8289,3214.6035,3308.0452,3304.4766,3299.495,3239.5227,3219.8027,3240.9097,3204.481,3317.3271,3272.6455
3491.7275,3238.386,3204.8289,3214.6035,3308.0452,3304.4766,3299.495,3239.5227,3219.8027,3240.9097,3204.481,3317.3271,3272.6455
11879.099,11821.051,11860.714,11876.029,11939.721,11956.621,11990.629,11986.349,11964.086,11983.625,11962.107,11988.905,11962.771
4459.7173,4496.672,4464.4927,4469.967,4447.434,4448.502,4437.645,4446.9814,4446.6587,4452.2734,4465.178,4457.473,4464.5522
2890.3862,2909.3062,2889.8206,2885.5444,3021.4102,3171.7444,3047.3,3065.1692,3224.217,3310.0515,3130.492,3108.136,3081.3918
4395.923,4420.6743,4486.9014,4457.097,4524.198,4697.2026,4642.784,4802.1787,4644.145,4733.7866,4675.1367,4532.9004,4394.722
2074.9666,2108.454,2068.9937,2042.7948,2078.7847,2064.5068,2049.4536,2069.6917,2004.7827,2051.0205,2014.5393,2065.3064,1997.2301
3397.8875,3481.4893,3467.3174,3713.7476,3719.327,3921.8289,4055.6377,4050.1409,4042.7703,3932.5361,3926.4678,3676.363,3684.1543
783.62964,808.22,811.48895,836.8946,872.38324,880.54407,890.3559,886.6698,879.1438,872.22986,839.29004,834.87366,811.1968
6494.5713,6464.782,6436.338,6436.3643,6707.707,6893.899,6630.7554,6549.228,6857.5605,6838.701,6503.021,6616.3745,6475.669
1066.3798,1040.1594,1048.4102,1029.2202,1047.8757,1029.0535,1007.1669,993.1365,973.0676,986.3593,958.8706,992.2699,976.63556
2940.2893,2943.9963,2940.2458,2944.055,2961.7786,2978.9175,2964.7998,2967.9377,2944.499,2978.5298,2987.135,3007.2378,2989.9846
2224.468,2338.3252,2248.8586,2174.3298,2130.1624,2231.434,2173.637,2292.9268,2209.4915,2268.4,2166.4402,2128.864,2079.982
3333.9536,3102.5981,3096.2795,3091.795,3210.0999,3420.5803,3603.255,3779.1165,3262.5327,3512.755,3300.511,3266.1274,3114.5437
653.33704,672.3992,647.98865,660.60175,644.35974,650.02057,654.21185,657.79407,692.7563,661.25665,655.2145,632.3181,618.2625
3566.5388,3654.792,3636.806,3810.3728,3791.758,3874.7312,3928.111,3972.3977,3923.7244,3844.1953,3919.1943,3719.0134,3694.51
787.82837,816.2531,823.3901,802.346,797.5701,849.7098,817.247,775.77893,728.14374,733.30676,719.28784,704.7848,744.0449
3773.5493,3774.9832,3758.0642,3780.032,3818.0452,3807.7878,3806.7354,3941.7844,3769.3118,3907.9617,3753.268,3822.848,3674.6084
1537.2162,1607.5529,1691.5582,1711.6508,1726.923,1707.3821,1652.9133,1567.1976,1561.3877,1532.3563,1504.6013,1464.2821,1420.2687
1131.4559,1136.5792,1138.1636,1130.7665,1108.4873,1124.8457,1109.4308,1100.2666,1094.8221,1095.7985,1090.2874,1084.8342,1072.346
1150.2413,1162.1948,1148.0936,1126.9348,1127.22,1156.5093,1131.4105,1130.5292,1137.1443,1152.2942,1134.0178,1126.8779,1131.2455
15185.016,15455.126,15798.396,15941.619,15483.334,15973.99,16607.998,15694.19,15506.863,14878.671,15124.66,14084.246,15093.187
2896.2483,2900.6833,2884.4448,2879.0117,2869.4688,2869.2466,2863.2092,2866.0305,2874.0315,2867.1953,2863.5317,2857.0212,2850.1245
3166.503,3181.8665,3163.8906,3165.3027,3162.1875,3165.1643,3165.7024,3163.7617,3172.561,3165.3242,3165.5232,3157.4475,3155.3376
5675.6367,5611.6694,5607.8984,5589.3633,5574.9233,5569.048,5565.182,5569.051,5566.09,5578.4546,5560.5967,5604.552,5601.0796
5670.551,5606.475,5602.503,5583.7266,5570.0845,5563.568,5559.9873,5563.5786,5560.444,5573.567,5556.1167,5600.236,5597.144
