V1,V2,V3,V4,V5,V6
7443.125,7447.304,7468.6343,7502.958,7492.4883,7479.071
1468.965,1497.6738,1577.0479,1550.3533,1684.7042,1517.5547
8881.406,9126.047,9367.791,9720.225,10046.772,10219.225
10236.815,10542.18,10775.127,11177.013,11522.622,11755.043
7491.3623,7894.4404,8137.661,8615.867,9209.953,8954.799
4141.8604,4357.485,4493.1196,4653.6787,4887.4033,5017.8784
3626.047,3781.0774,3847.2305,4019.7969,4006.378,4299.669
2375.02,2362.3247,2380.4287,2355.0864,2360.9773,2393.4912
2306.1704,2343.9172,2366.8396,2381.041,2434.036,2436.7214
2243.1865,2263.4612,2279.979,2289.5837,2250.584,2335.7446
1488.8647,1507.8368,1518.7079,1532.0608,1546.2041,1559.8387
2054.6025,2115.4827,2159.3406,2212.9192,2324.5996,2325.862
5169.6953,5250.89,5358.8926,5776.8145,5753.0703,6013.0864
5319.9604,5362.3433,5472.519,5638.873,5715.5728,5893.868
5651.0522,5741.9395,5944.315,6091.5737,6333.3965,6463.3394
2820.0474,2826.9995,2853.4133,2971.4714,2882.9495,3102.8142
4028.15,4056.816,4147.6885,4271.33,4278.2446,4524.8833
3386.1492,3397.0923,3433.9329,3568.6604,3494.271,3715.8267
3232.56,3512.7627,3678.2974,3960.9216,4192.796,4412.0146
6577.265,6749.519,6856.781,6996.792,7157.977,7400.4346
9709.031,10245.555,10510.57,10998.472,11436.955,11986.311
4284.8115,4469.121,4551.598,4876.626,4707.748,5233.5063
9180.662,9239.582,9430.215,9812.911,9539.112,10003.965
8325.113,8562.027,8635.526,9344.467,8704.961,9598.774
2391.1594,2500.6504,2544.78,2687.0645,2707.3123,2873.164
7180.0625,7453.504,7565.6533,8074.176,7803.34,8723.068
1730.404,1796.9475,1821.6138,1936.5342,1886.1675,2075.77
1674.4417,1731.3608,1755.7255,1849.5745,1799.5718,1973.0682
4110.4097,4167.671,4199.865,4269.7227,4209.2466,4389.2974
4570.729,4707.488,4830.218,4860.047,5192.681,5135.0386
3537.7222,3531.2388,3561.2073,3541.5046,3547.6682,3582.1252
5414.603,5517.1255,5577.321,5636.213,5724.4126,5808.9893
1276.9719,1304.6523,1326.8516,1321.0499,1384.9006,1358.472
1683.299,1722.2467,1743.1964,1725.2523,1792.8557,1769.116
3421.972,3513.1494,3568.262,3626.4316,3736.606,3779.6333
1154.373,1172.1803,1181.4221,1186.537,1194.4326,1215.7848
3993.6426,4094.5571,4152.416,4236.375,4303.293,4411.459
6775.8457,6807.4287,7056.6865,7263.3037,8394.2295,7962.5845
3513.1943,3577.7195,3705.8682,3759.0486,3702.7559,3614.47
4997.264,5118.34,5337.6685,5671.3906,5734.445,5799.1616
15080.545,15265.36,15653.959,16231.422,16209.09,16471.012
6313.1816,6640.2197,6970.126,7348.0806,7825.723,8126.129
3168.3525,3303.9375,3476.7131,3668.6426,3869.1248,4015.9507
10832.786,11192.926,11703.466,12233.588,12587.3125,12836.296
10711.684,11002.768,11419.948,11865.295,12174.781,12372.119
7024.6494,7479.8843,7886.9487,8325.917,8836.899,9221.396
7034.909,7491.0117,7897.47,8338.321,8850.723,9234.145
7338.3975,7354.9976,7322.8076,7305.762,7573.3765,7554.465
2541.6697,2558.5808,2594.7231,2614.7944,2644.6426,2669.3423
18902.363,19038.707,19335.025,19579.787,19799.984,19982.387
8311.051,8334.248,8416.665,8487.254,8527.831,8637.059
18803.92,19986.693,21064.5,22397.988,24010.68,25073.072
20801.527,22725.254,24296.148,26135.02,28170.465,30601.137
10021.964,10791.986,11544.094,12354.291,13334.167,14170.497
3036.563,3260.311,3468.0493,3706.1755,4013.2969,4243.8477
13460.264,14571.33,15578.287,16790.666,18378.45,19504.918
2297.161,2421.958,2531.5498,2684.7754,2863.662,2980.567
10889.808,11177.396,11634.979,12206.377,12161.56,12745.763
10198.547,10346.496,10507.594,10680.264,10806.602,10908.833
10663.314,10931.303,11281.054,11675.483,11941.789,12152.918
10497.285,10746.378,10933.832,11059.31,11180.121,10966.668
11027.139,11474.8545,12682.766,13813.271,12945.184,13106.272
10461.773,10784.724,11162.068,12320.115,12334.516,12792.209
13814.644,14135.475,14882.211,15272.844,15820.814,16200.41
10533.351,10917.434,11436.115,12017.898,12311.176,12359.549
10470.376,10877.594,11146.203,11501.886,11866.148,12541.709
10204.637,10281.897,10347.892,10530.646,10411.025,10390.164
10460.981,10484.51,10516.927,10621.783,10572.808,10503.79
10649.635,10827.49,11245.624,11729.902,11845.942,12152.008
10575.909,10519.881,10693.132,10491.528,10947.657,11024.752
11081.578,11025.124,11334.071,11587.278,11396.248,11762.281
10895.51,11310.772,11816.769,12275.66,12886.991,13246.709
9836.54,9836.695,9807.44,9741.513,9812.303,10228.216
9348.823,9564.835,9783.242,9690.17,9603.991,9993.7
9898.814,9959.032,9860.787,9935.8955,9857.159,10152.322
9981.256,9969.006,9989.331,9837.409,9977.259,10256.668
10505.142,10824.986,10955.355,11492.787,11815.668,11898.621
10496.153,10885.164,11561.092,12262.17,12554.59,12936.75
5852.511,5872.5093,6172.8525,6506.3174,6380.963,6392.7944
4191.784,4265.3,4349.707,5142.045,4913.8174,5786.753
4836.543,5085.4688,5367.293,5606.8037,5916.0605,6067.9004
13299.669,13360.828,13702.637,14729.134,14328.672,13989.908
10215.058,10639.664,11289.255,12051.117,12344.959,12649.637
3795.672,3799.1743,3795.068,3780.943,3823.9756,3846.394
1611.9463,1685.7742,1691.5018,1763.2124,1842.409,1776.9464
2842.255,2874.4802,2873.8994,3136.0361,2970.396,3179.8342
11057.787,11403.11,12112.564,12620.112,12840.686,12789.686
10200.803,10099.364,9968.147,10513.78,10311.741,11029.136
1631.2483,1619.0275,1693.9379,1974.3901,1773.0977,1956.0315
6024.432,6055.638,5994.658,6318.4263,6116.831,6584.6475
8086.398,8178.838,8268.568,8404.395,8537.226,8790.369
2322.2866,2437.6235,2589.486,3153.72,2924.3042,3302.9048
8230.716,8199.19,8316.959,8256.355,8370.064,8243.145
