V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2031.9015,2034.8641,2033.7002,2045.7076,2050.1064,2043.8525,2036.4666,2059.0923,2050.9172,2058.5325,2055.9502,2053.6545,2050.9468,2048.8794
2960.8298,2980.21,2994.0288,3001.912,3030.565,3017.5134,2979.8337,2980.528,3020.916,3045.2644,3047.2393,3032.9094,3023.8538,3017.7852
1081.5161,1085.6129,1113.53,1099.8511,1090.6578,1104.5514,1123.1599,1129.1718,1127.1355,1123.8762,1116.7202,1101.2231,1097.5454,1105.4991
1061.0631,1063.6672,1155.0001,1097.7865,976.3383,1087.0627,1226.6398,1185.7573,1170.4918,1229.0867,1215.2659,1137.2948,1153.3776,1243.7509
5896.87,5949.0117,5948.4575,6023.097,6037.0083,5985.5854,6021.806,6010.203,6024.1094,5988.76,5998.726,6099.9277,5975.1875,6020.343
3084.5,3078.623,3061.863,3083.4143,3055.8708,3072.2778,3065.5068,3092.9692,3064.4395,3062.0288,3060.758,3107.8472,3135.4258,3130.777
5050.7144,4701.4497,4526.363,4355.084,4640.554,4847.669,4969.7056,4533.512,4416.4277,4510.93,4730.3086,4343.206,4478.3584,4536.1025
1739.3635,1770.3394,1752.0818,1750.6248,1725.274,1736.8998,1719.032,1765.9128,1748.9291,1758.7245,1732.2357,1733.2487,1733.9592,1750.2258
1590.8046,1617.6613,1601.3806,1599.7675,1575.2338,1583.8105,1569.4294,1611.5032,1596.2767,1605.3938,1580.793,1583.4314,1584.1597,1598.6226
2629.1382,2653.4243,2650.2224,2648.1982,2562.4666,2586.7432,2579.6538,2680.5527,2709.3691,2629.3108,2565.4043,2588.7856,2565.676,2629.7786
2423.2307,2407.416,2413.6445,2410.4946,2401.3293,2411.3135,2410.2925,2407.5452,2412.452,2402.2732,2397.616,2402.1423,2409.9932,2411.3977
3650.052,3670.8254,3674.3027,3683.0999,3669.9158,3686.0684,3712.6226,3731.6492,3686.8464,3705.6807,3712.381,3717.6807,3718.0552,3724.197
7152.497,7130.0703,7125.092,7145.5933,7178.579,7073.164,7086.891,7113.0884,7159.036,7135.814,7108.7812,7055.988,7013.115,6925.2676
5568.52,5579.602,5487.624,5434.7554,5389.9756,5508.3496,5412.713,5469.0396,5253.5913,5369.974,5404.138,5364.7236,5298.8677,5254.1753
8788.275,9627.41,9500.651,8970.091,9348.16,9333.23,10380.869,9393.353,9120.785,9873.756,11019.556,10200.99,10175.936,10251.533
3087.6304,3081.487,3076.146,3085.5833,3084.7476,3086.327,3083.4094,3079.5073,3082.2595,3078.1633,3072.2837,3074.7024,3077.7341,3079.2659
3971.9688,3972.9768,3954.1326,3957.2566,3970.567,3936.7302,3930.9722,3951.3572,3956.7014,3946.3887,3948.7124,3945.8582,3931.1533,3909.5908
9575.441,9543.803,9542.899,9519.12,9504.288,9519.146,9584.484,9605.57,9541.552,9533.292,9532.662,9539.246,9552.683,9550.154
2628.2012,2667.0645,2646.2454,2628.0977,2523.1714,2536.1514,2539.732,2554.3977,2553.708,2567.7764,2546.4126,2548.394,2550.8384,2514.296
10812.083,10833.482,10843.211,10910.141,10981.825,10986.461,10944.461,10949.826,10956.264,10946.125,10951.849,10956.783,10966.23,10962.108
2617.8616,2658.6255,2641.137,2620.5012,2513.982,2522.3804,2530.9614,2544.5708,2544.44,2558.0737,2537.5696,2538.0972,2539.0078,2501.012
2871.187,2918.4558,2831.8772,2813.6292,2703.6807,2759.371,2783.5845,2805.442,2818.4463,2832.2312,2798.7517,2782.2708,2828.312,2853.1924
1940.8817,1936.3656,1936.5767,1914.8173,1899.3875,1896.6167,1903.3197,1913.3386,1918.7489,1930.1564,1931.0603,1920.8704,1943.1984,1946.2666
2559.5278,2602.4897,2526.661,2509.667,2411.0093,2460.9055,2483.8943,2504.567,2517.7063,2531.8694,2497.4812,2479.4998,2526.2664,2548.803
1606.769,1604.1106,1595.0056,1581.1986,1570.1088,1571.6292,1577.3081,1585.3624,1588.8145,1593.6257,1593.1146,1589.7069,1610.2284,1609.9331
2390.9004,2453.039,2359.6833,2364.1064,2272.7585,2332.8474,2347.143,2392.6426,2390.9185,2424.083,2379.5535,2378.9512,2408.9175,2436.5906
1732.2427,1731.1473,1731.245,1712.4357,1697.5062,1695.0928,1701.4987,1711.0092,1716.0634,1726.9618,1727.2192,1718.2556,1738.7834,1741.8419
464.0448,457.62222,455.18494,474.9581,499.6969,466.14328,468.1265,457.7547,466.19168,471.56277,482.93323,484.3671,482.71213,488.00235
6414.182,6403.664,6352.7944,6401.377,6288.809,6360.8677,6316.553,6274.825,6233.27,6288.205,6289.0015,6398.972,6274.947,6243.494
666.9013,657.65985,654.1631,682.58466,718.1333,669.9102,672.7648,657.8538,669.98413,677.7004,694.0417,696.1021,693.7233,701.31903
