V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
630.64545,582.3428,523.07605,480.48364,463.58313,438.20496,447.1972,449.78864,443.2813,479.56012,547.53705,586.3671,654.6525,722.8712,762.30237,801.49927,831.3708,829.1273,830.20526,803.2384,777.6748,745.72766,704.2858,649.9366,613.41614,572.484,515.8078,498.92087,510.6509,487.85718,492.9166,504.4486,504.95056,523.22705,578.44116,613.7993,652.7866,737.1671,765.1222,779.38696,790.25073,804.9741,801.41895,784.7864,767.77576,756.6205,700.7563,666.83167
2818.8533,2613.186,2269.213,2038.5789,1891.5198,1786.2354,1769.9717,1834.637,1837.7367,1942.5149,2203.8506,2434.999,2690.62,2969.0374,3177.389,3413.6365,3628.2163,3674.8547,3738.1895,3694.8586,3713.4458,3622.7925,3471.999,3298.3958,3066.4326,2734.7668,2305.8213,2085.085,2041.6332,1858.9989,1830.0319,1891.9054,1983.9531,2049.691,2328.7954,2561.9727,2693.303,2995.4265,3099.9785,3283.52,3445.0051,3646.6353,3708.8926,3642.969,3634.0635,3542.2969,3224.7087,3150.4795
1482.7314,1438.0378,1357.4443,1255.4077,1173.5503,1067.6296,1028.9349,1010.61743,1013.1867,1025.9172,1123.6849,1150.9563,1238.4563,1293.3647,1280.5288,1292.9728,1372.4408,1380.2694,1445.3485,1411.3839,1445.197,1456.9674,1477.9778,1461.1499,1429.2808,1342.6594,1247.8019,1145.0854,1073.3248,970.01605,927.7407,924.2028,978.87573,1029.3909,1094.4423,1147.6516,1191.7839,1262.7238,1274.2677,1298.743,1311.1238,1326.8125,1382.1149,1384.8335,1429.4373,1456.6218,1480.5206,1481.4882
5374.826,5207.8774,4765.447,4275.484,3861.2341,3556.607,3386.853,3378.4834,3306.899,3351.8384,3443.2417,3537.621,3864.0054,3991.3408,4114.594,4437.13,4790.846,5065.771,5414.0522,5591.5317,5714.7563,5783.9077,5659.68,5646.1123,5379.602,5139.9023,4827.7417,4393.932,4195.786,3807.456,3534.1245,3549.3345,3617.5125,3512.5793,3561.9785,3718.1157,3887.7278,4186.3887,4265.218,4398.4966,4690.381,5094.759,5382.7397,5464.7783,5605.2725,5740.432,5530.1973,5542.436
3753.067,3676.5073,3423.158,3176.1511,2927.0,2696.5625,2383.201,2149.416,1967.3945,1893.2493,1995.5503,1953.197,2144.768,2308.2224,2367.534,2693.333,3024.8555,3323.3833,3652.1982,3766.1626,3852.1792,3889.554,3894.7217,3777.982,3597.0078,3351.0266,3081.8074,2695.0518,2528.4211,2253.5122,2087.722,2080.1572,2080.4836,2133.7842,2112.0332,2159.5657,2172.8435,2412.4785,2448.6912,2598.4678,2811.4692,3099.7842,3385.4385,3566.6997,3604.6294,3718.0095,3618.0237,3593.6826
5329.5386,5500.176,5587.512,5672.746,5847.6924,6060.299,6119.5225,6206.093,6437.676,6819.283,6954.988,7144.389,7248.188,7364.481,7495.043,7384.7476,7185.0854,6856.998,6489.946,6067.118,5703.7705,5534.94,5354.733,5318.788,5462.657,5732.687,5765.56,5924.06,6086.612,6388.5366,6494.9224,6586.412,6665.2783,6893.1577,6998.748,7192.4893,7281.003,7320.7983,7380.956,7350.229,7151.405,6882.8975,6529.6143,6195.604,5824.4844,5584.912,5483.0005,5379.6143
49591.137,49221.93,47213.33,44391.242,40961.3,37475.863,34339.805,32368.873,30730.938,30075.059,31317.445,31041.652,33007.0,35048.047,36169.71,38493.137,41087.36,43395.71,46969.78,48165.277,49482.535,49795.08,50067.055,49602.81,48618.773,46620.4,44535.41,40899.605,38419.176,34656.27,32636.02,32170.111,32034.748,32423.666,32498.023,32698.387,33392.914,36322.547,36926.758,37946.062,39314.57,41476.395,44186.27,45819.883,46987.094,48039.117,47432.582,47885.797
30808.812,29119.79,26226.06,24713.137,24562.049,24284.596,24700.715,25184.951,25231.738,27639.283,31178.758,32586.953,35153.902,36972.316,38854.047,40525.836,41455.348,40795.156,40953.12,40063.035,38587.74,36847.953,34871.55,32735.645,29542.559,26690.613,23255.38,22088.305,21943.873,21805.908,22556.516,23288.367,24946.023,26927.01,30701.895,32765.125,33471.613,36629.406,37790.848,39302.605,39446.09,40360.297,40519.2,39897.934,38790.2,37933.676,35327.78,33793.617
35590.2,33768.516,30502.244,28054.137,26748.701,25961.094,26030.57,26638.684,26646.66,27556.453,29756.277,31511.402,33523.188,35911.582,38091.82,40245.848,42401.766,42827.42,43516.285,42970.12,42695.56,41813.38,40418.234,38880.457,36257.883,33154.305,29221.79,27571.383,26923.91,25671.656,25541.207,26156.996,26765.79,27334.48,29486.127,31336.797,32405.107,35508.273,36842.98,38675.89,40027.305,42018.426,42615.08,41981.94,41512.465,41147.836,38821.426,38412.754
461.92993,467.75424,442.19852,442.42044,424.0036,412.17245,403.02667,417.13284,420.16174,410.44147,412.46646,412.90912,418.27472,431.32877,421.38962,441.45465,444.7704,453.1383,458.2693,464.23312,458.9441,473.05362,470.53455,465.39398,458.85788,452.1976,426.4032,425.36728,419.95627,407.64066,389.00473,406.661,405.901,413.40118,417.0143,421.3505,427.83322,443.2872,433.8838,435.48236,437.4005,444.6231,442.19684,459.01138,456.9854,471.4304,459.97546,467.54727
27997.053,27174.969,26068.408,26414.1,26700.115,26503.271,27402.635,28976.395,29463.121,30168.143,31455.508,33122.04,35780.336,36251.27,37512.625,38800.17,39553.504,38737.945,38492.562,36869.684,34993.44,32882.297,30336.871,28616.807,27768.98,27537.877,26578.998,27027.332,27589.758,27286.49,28049.992,29522.379,30093.553,30862.213,32346.809,33798.906,34403.32,35480.895,36193.434,36600.363,36210.957,36425.36,36372.695,35707.875,34096.297,32729.81,30317.209,29244.314
8563.179,8016.3496,7106.6514,6619.7837,6532.456,6461.855,6604.598,6789.741,6792.048,7535.8906,8560.838,8867.387,9580.086,10293.451,10757.143,11413.98,11871.75,11818.716,11918.732,11625.052,11208.963,10801.267,10154.371,9373.471,8478.666,7620.4053,6411.3555,6025.573,6045.3726,5924.592,6123.508,6430.5205,6904.216,7531.1914,8582.062,9161.463,9350.442,10367.443,10700.951,11131.154,11184.65,11532.049,11637.227,11451.313,11112.174,10893.492,10001.236,9503.6045
