V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
8310.827,6206.673,5422.0703,6487.022,5840.408,6124.031,6932.751,6387.0977,6245.556,4959.0127,6288.013,7636.491,8170.405,6616.913,5814.6245,5408.7236,5810.3643,6125.8247
2686.6123,2385.8044,2425.0767,2484.905,2120.8564,1911.5205,2241.1094,2432.546,2258.516,1961.386,2175.4421,2668.6777,2475.282,2246.18,2338.8848,2410.9592,2248.464,2050.2585
13276.111,13467.528,13490.095,13301.16,13130.037,13417.404,13416.398,13436.993,13369.724,13506.033,13173.823,12984.331,12962.964,13513.713,13365.148,13178.037,13021.564,13428.531
6659.068,6648.021,6613.0503,6631.2866,6666.889,6691.702,6708.7397,6705.833,6656.0703,6687.138,6649.1196,6689.875,6699.8022,6672.737,6664.849,6683.8877,6718.4297,6703.484
4357.9834,4400.4644,4408.1885,4423.055,4435.74,4442.358,4414.453,4425.194,4426.8647,4416.4043,4414.3843,4436.186,4425.1694,4433.921,4438.507,4439.126,4437.1855,4428.7285
11562.261,11551.117,11553.993,11588.257,11593.093,11597.075,11551.188,11584.933,11534.56,11482.682,11449.481,11482.832,11582.109,11648.061,11642.845,11669.418,11679.094,11700.377
1154.4878,1165.7631,1177.9874,1186.0836,1196.032,1201.7958,1186.4164,1196.7864,1193.6295,1185.2784,1191.4061,1199.9818,1208.6398,1212.4447,1219.2933,1211.4647,1212.5813,1208.577
1398.331,1405.122,1407.8611,1417.1675,1432.889,1446.6146,1423.1555,1453.1456,1430.7559,1421.1389,1420.902,1454.105,1457.4916,1469.9789,1504.4564,1480.4293,1486.9797,1481.0968
5361.81,5441.238,5561.8486,5537.247,5435.7036,5288.886,5112.8384,5249.419,5209.0996,5077.854,5171.0527,5296.542,5393.9604,5350.8423,5423.6016,5390.652,5340.131,5239.7236
6558.589,6456.9385,6335.611,6197.996,6098.4795,6014.574,5960.388,6108.7705,5844.227,5777.559,5932.1914,5939.1387,5996.7104,5872.3174,5962.662,5840.242,5825.9614,5858.0376
11709.093,11954.597,12677.44,12949.339,13052.474,12993.86,12744.357,13303.944,13036.532,13182.858,13217.686,12672.977,11457.849,11644.365,12659.203,13183.709,13036.673,12864.956
2767.7295,2780.9285,2766.155,2750.7686,2756.395,2774.8655,2754.922,2744.474,2760.7588,2772.6113,2764.7517,2770.0203,2762.9087,2775.7727,2755.3108,2764.0623,2763.9082,2778.2986
2179.7686,2185.5854,2177.1533,2163.6982,2164.8208,2175.3333,2162.9102,2162.3284,2172.8462,2170.8767,2180.3906,2185.431,2177.6987,2183.4316,2175.0476,2178.1438,2172.914,2174.4944
4734.8926,4872.2637,5121.976,5308.0303,5403.3955,5189.8022,5027.313,5396.6104,5420.1445,5471.3486,5072.5977,4794.755,4646.763,4761.165,5176.627,5405.677,5366.0913,5038.6143
2695.2817,2689.41,2669.688,2662.492,2656.6807,2665.0984,2664.9932,2665.299,2658.6367,2660.5154,2690.4722,2700.4417,2700.5593,2691.567,2663.479,2661.8335,2650.1565,2673.3445
13406.729,13566.726,14234.145,14474.834,14500.671,14466.564,14236.092,14701.6045,14499.51,14514.782,14983.005,14802.896,13210.716,13324.12,14219.234,14706.263,14608.064,14438.341
6890.5903,7120.406,7919.3066,8184.137,8255.63,8276.435,8116.755,8635.723,8258.556,8316.588,8618.05,8034.9194,6633.0537,6790.6973,7959.42,8467.185,8279.249,8277.594
