V1,V2,V3,V4,V5,V6,V7,V8
7382.5044,7324.7217,7433.3975,7077.574,7394.625,7184.266,7412.348,7189.683
7484.409,7584.8755,7646.551,7371.3467,7566.5776,7505.9,7661.215,7429.24
7581.132,7765.5483,7771.433,7279.69,7839.7676,7663.4463,8001.6416,7539.573
8142.6055,8425.346,8482.136,8128.356,8463.4795,8478.029,8629.194,8206.969
1046.8221,916.21436,1207.4885,1363.8843,865.38135,874.5043,1161.9619,1310.9196
9952.349,9969.818,10051.47,10071.947,10012.864,9827.886,9957.683,10047.685
3330.7556,3344.1199,3328.8062,3348.1536,3346.3262,3302.7651,3310.585,3336.379
2603.6135,2576.7178,2625.4653,2648.2578,2610.256,2563.058,2617.5596,2646.8286
2489.669,2509.1196,2500.0696,2519.1648,2516.5083,2471.88,2500.3047,2506.8237
2535.5288,2531.3374,2555.4978,2551.4817,2531.5925,2526.873,2547.8599,2536.4944
1154.9777,1153.3195,1153.751,1153.3313,1155.416,1152.3339,1153.4299,1152.2875
3230.8894,3045.6145,3202.435,3341.8323,3162.057,2919.2812,3229.5203,3293.555
1762.113,1757.7161,1765.4279,1756.5115,1751.5266,1743.4662,1728.6469,1746.9785
12557.814,12482.115,12280.492,12280.871,12284.337,12120.727,12063.467,12112.776
1141.7424,1108.6155,1266.7905,1286.9225,1093.8148,1147.6312,1255.9952,1302.5757
1943.3497,1876.3341,2004.1357,1968.8108,1792.5624,1857.4729,1953.1334,1969.7976
2437.2043,2519.1155,2489.082,2552.7632,2502.4263,2519.0076,2474.1384,2527.7654
4698.181,4516.1167,4945.88,4830.5786,4601.891,4548.1245,4912.1714,4833.6914
5898.831,6012.4536,6014.412,6021.8193,6012.706,5942.109,5933.927,5936.4224
6146.433,6157.6406,6177.0527,6273.202,6209.5283,6071.6475,6084.807,6204.4688
9604.2705,9651.419,9764.256,9866.408,9756.557,9491.507,9599.108,9724.928
4938.3364,5031.6895,5144.142,5221.2817,4890.456,4931.71,5013.277,5143.7485
6092.938,6032.492,6204.9097,6250.7295,6026.798,5974.648,6172.617,6234.01
2321.1768,2321.356,2331.468,2323.5183,2322.8042,2314.426,2328.9238,2322.6694
1372.8164,1376.3029,1391.7407,1377.9186,1374.7496,1373.9938,1398.7472,1378.0077
8124.07,7922.1465,7951.0786,9839.787,7704.787,7908.3794,7991.4956,9617.755
9162.78,9160.212,9334.388,9169.484,9175.1045,9119.624,9182.307,9179.669
5070.4463,5036.3306,4956.2183,4910.5786,5005.373,5037.5303,4925.0356,4839.713
2007.4812,1946.1813,1945.9315,1896.855,2005.0798,1939.334,1893.6223,1901.8411
3114.8933,3125.266,3103.2112,3103.7068,3123.8586,3118.7107,3101.729,3106.6055
2472.6008,2511.8223,2483.6724,2482.248,2479.8413,2481.2043,2484.3806,2482.3953
4819.756,4633.9785,4625.2744,4621.3228,4777.033,4628.7573,4520.8076,4588.136
8280.164,8371.859,8350.133,8287.448,8315.628,8345.583,8294.735,8242.339
7093.2197,7231.146,7210.0557,7126.584,7094.181,7142.4795,7197.5938,7110.694
10092.837,10167.624,10112.297,9964.649,10041.745,10208.374,10036.922,9930.288
9188.875,9150.883,9111.683,9152.269,9144.461,9077.227,9114.311,9060.705
4481.916,4445.415,4336.3325,4415.249,4423.745,4413.7554,4375.4116,4374.2515
