V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36503.086,36662.04,37310.992,37355.508,37743.33,37686.723,37624.074,37759.01,37821.27,37361.723,37725.254,37754.39,37738.76
3601.0198,3636.2732,3713.295,3743.111,3740.614,3731.6396,3734.582,3767.051,3771.3137,3759.3225,3772.4722,3771.1545,3747.4905
9660.057,9581.291,9561.567,9578.349,9691.925,9575.7705,9530.661,9549.044,9590.452,9569.305,9571.011,9584.876,9624.055
2342.3884,2330.7314,2355.0217,2327.7249,2362.4697,2424.1787,2476.234,2409.441,2405.1853,2385.1143,2454.315,2476.4153,2476.7224
1498.2859,1882.219,1791.4766,1713.1523,1815.2098,1940.4429,1963.1447,1986.8447,1895.1813,1672.7854,1481.6526,1810.9779,1954.266
545.00616,597.29974,643.2593,642.62726,651.2697,630.2291,603.6914,566.4558,607.2856,676.6902,719.65967,674.0201,643.68146
3063.4126,3200.9626,3177.733,3167.3362,3198.8108,3077.3713,3129.5237,3181.2302,3268.128,3212.0234,3300.664,3288.875,3249.4126
2654.8677,2645.5476,2478.5767,2631.8113,2593.3748,2423.7422,2432.506,3113.7637,2443.8252,2365.7903,2448.0095,2855.655,2454.4714
6894.4146,6725.9355,6631.981,6887.09,6659.772,6419.662,6331.3975,6486.362,6462.1455,6521.711,6816.6123,6880.099,6385.812
5089.519,4969.479,4926.8677,4943.967,4965.9434,4833.14,4870.5015,4930.1436,4920.7197,4918.814,4911.122,4862.644,4831.6147
357.70972,366.8717,386.73822,432.84387,383.56653,339.66943,353.04648,392.49258,381.73453,399.58115,400.68576,422.2517,413.78458
1031.9259,1044.6088,1045.4973,1050.6951,1055.7847,1063.3407,1065.2386,1065.4042,1054.4257,1042.7904,1038.9557,1041.5289,1042.5526
2355.4639,2327.7388,2260.6475,2228.8818,2231.59,2233.078,2222.539,2191.6675,2213.6777,2232.1736,2190.8838,2202.8337,2242.6987
2324.7449,2291.1384,2221.998,2219.9834,2222.2856,2226.4497,2225.716,2193.386,2204.1018,2223.9385,2183.596,2191.4688,2248.676
4755.089,4730.273,4544.6606,4553.5527,3987.912,4496.1953,4507.8047,3681.6465,3713.9473,4518.0425,3796.9312,3592.185,4115.5483
4755.089,4730.273,4544.6606,4553.5527,3987.912,4496.1953,4507.8047,3681.6465,3713.9473,4518.0425,3796.9312,3592.185,4115.5483
12009.639,11950.12,11902.589,11939.784,11956.453,11843.984,11887.892,11918.214,11937.037,11951.246,11911.429,11879.919,11875.328
4353.1,4467.5386,4559.0674,4478.6987,4450.934,4555.182,4512.3755,4446.046,4434.2124,4443.248,4478.222,4523.1787,4562.9595
2854.019,2978.558,2865.8733,2907.3877,2951.941,2978.186,3056.4692,3248.3845,3272.9907,3213.8684,2900.94,3056.8499,3324.7559
4217.1084,4477.94,4574.9463,4504.8105,4634.7476,4588.034,4643.016,4768.098,4806.03,4701.631,4649.43,4711.6064,4883.066
2122.0989,2221.7808,2171.8533,2146.5112,2185.613,2170.1985,2178.411,2173.5977,2123.6958,2073.9822,2089.4558,2167.8728,2244.9265
3764.5635,3623.2844,3559.4805,3678.3516,3910.577,3755.7415,3634.971,3550.58,3685.501,4043.1677,4149.8755,4147.1885,3920.2622
806.56793,819.08984,840.2732,831.1692,852.89825,843.6872,842.66785,842.06665,876.5238,869.59546,872.46375,868.2015,860.4078
6923.7275,6788.584,6584.0312,6598.773,6598.414,6664.117,6791.547,6780.897,6917.9067,6974.886,6446.527,6569.5864,6934.2217
1205.0452,1228.3235,1130.9001,1116.4128,1063.8877,1043.7639,1044.8944,1067.9674,1059.08,1102.8489,1060.6808,1061.661,1060.5212
3060.168,3008.9768,2987.5984,2943.5588,2995.0994,2968.5388,3016.679,3063.1614,3091.033,3055.955,2930.01,3050.5442,3139.1738
2225.155,2369.7078,2395.1934,2220.5352,2303.1553,2320.0662,2242.5361,2261.4414,2302.6516,2283.2192,2177.9531,2135.466,2449.4504
