V1,V2,V3,V4,V5,V6
7257.054,7286.6836,7328.7563,7329.343,7305.1753,7312.318
1619.7905,1480.9814,1394.727,1279.8474,1316.0464,1324.8778
8956.536,9056.119,9543.149,9582.693,9398.918,9907.098
10356.752,10498.931,10959.965,11011.48,10784.037,11384.813
7773.8037,7798.2046,8806.309,8974.869,8586.285,9173.878
4466.662,4527.78,4830.9824,4908.163,4632.5825,4932.9863
3959.796,3989.483,4121.5244,4182.497,3878.8713,4140.2114
2374.3542,2352.3281,2371.1074,2385.772,2371.4639,2372.311
2362.2483,2351.9658,2414.1736,2431.6885,2371.4187,2431.5789
2343.9326,2296.6711,2287.1252,2337.6594,2238.3445,2240.4583
1520.0168,1516.053,1547.2806,1555.0402,1525.0865,1553.612
2127.308,2122.7607,2252.3071,2294.6025,2231.738,2329.2102
4462.2686,4369.901,4377.951,4401.6504,4459.5005,4522.9727
4945.848,4858.562,4840.3555,4891.816,5079.157,5017.0806
5308.8496,5205.5117,5307.566,5319.0156,5569.417,5561.818
2507.526,2512.0042,2519.5964,2529.3276,2531.3198,2583.3755
3816.2231,3816.3965,3803.198,3781.589,3845.448,3996.406
3044.8047,3030.7908,3065.2107,3081.856,3107.7263,3170.293
4071.929,4169.789,4590.643,4666.003,4340.867,4381.7764
6886.9517,6969.993,7184.8984,7238.9653,7178.862,7293.8433
10629.339,10905.658,11516.414,11593.006,11494.092,11918.541
4872.003,4934.5996,5087.4297,5157.5503,4722.0815,4965.773
9548.447,8579.889,8693.783,8544.468,8253.661,8274.831
8846.947,8586.055,8524.799,8602.908,7813.4233,7861.038
2708.5957,2734.5269,2882.1057,2926.3525,2776.2651,2881.3782
8202.756,8365.564,8526.039,8644.548,8118.9414,8338.132
1932.8779,1960.4067,1995.749,2024.1758,1893.2468,1965.6404
1884.5845,1909.1833,1920.9183,1944.75,1839.2633,1867.1309
4286.2866,4277.44,4307.546,4335.631,4177.508,4302.5356
4754.6235,4705.968,4977.8086,5088.1206,4945.2437,5153.366
3749.8555,3580.191,3610.4734,3622.0906,3575.5442,3573.6978
5585.589,5577.9204,5708.9688,5751.8877,5580.7646,5735.612
1319.8103,1303.7748,1352.9985,1376.2314,1336.9396,1380.6156
1738.0532,1711.3552,1759.0156,1781.7192,1723.5747,1769.8152
3550.9575,3551.07,3691.6375,3734.3765,3591.0698,3738.9304
1187.5962,1181.585,1196.8718,1205.0306,1172.1792,1199.6484
4168.751,4178.8623,4319.8154,4365.959,4191.5137,4359.8623
2078.7026,3725.5151,6104.2354,7070.1104,6714.623,6899.7197
3564.4236,3353.6973,3359.8584,3438.539,3334.254,3301.9758
4543.033,4474.891,4462.456,4496.738,4477.35,4473.1655
14173.123,14053.359,14104.65,14120.344,14028.163,14114.41
6406.1494,6547.496,7075.212,7177.01,7113.9795,7663.8823
3118.9692,3172.4053,3378.6687,3437.4883,3432.879,3676.3354
10432.048,10428.603,10790.153,10858.081,10838.678,11623.55
10336.869,10338.798,10666.482,10743.387,10609.491,11197.741
7059.417,7169.6436,7654.3994,7683.171,7691.0596,8439.4375
7071.1445,7181.797,7668.9175,7698.4375,7703.717,8456.0
7010.1646,7426.4937,7471.88,7414.1343,7508.7417,7572.276
2549.7595,2547.9963,2606.6174,2627.2754,2616.361,2677.983
18873.742,18858.156,19355.78,19582.592,19326.139,19890.852
8277.634,8197.591,8389.922,8598.544,8389.212,8664.118
19662.215,20601.22,22783.064,22982.93,22387.375,24213.879
24410.922,26138.922,28586.348,29185.695,28276.234,30232.008
9850.06,10119.1455,10931.791,11194.823,11197.086,12257.939
3123.079,3249.1768,3588.7563,3658.1128,3613.6343,3937.301
14407.809,15190.478,17223.375,17590.953,17078.457,18826.068
2375.4902,2485.5205,2677.711,2682.5515,2634.1826,2892.2197
9664.122,9596.068,9736.167,9722.021,9667.424,10102.85
10012.299,10088.953,10150.248,10063.085,10020.427,10192.068
10190.258,10201.053,10447.673,10460.937,10311.302,10771.343
9378.801,9439.819,9611.279,9457.39,9299.286,9359.903
9360.026,8061.467,7437.1807,7797.4287,8542.987,7309.15
9551.506,9854.126,9899.989,9399.2,9445.14,9760.027
13490.196,13758.361,14098.288,13735.893,13999.793,14238.377
9606.38,9308.334,9203.8955,9133.765,9780.324,8666.303
10988.0205,11077.318,11400.569,11648.788,11641.244,12299.868
9732.974,9682.302,9659.12,9662.44,9644.166,9727.127
9969.553,10109.351,10150.287,10114.298,10044.8,10196.13
10316.645,10174.188,10391.333,10655.301,10736.388,11506.651
9789.443,10201.481,10338.437,10295.8955,10248.671,10232.294
9824.1,9717.114,9670.5,9947.178,10146.424,9905.138
10999.19,11223.332,11749.639,11731.78,11879.23,12881.534
10249.102,9263.947,9198.517,9197.055,9503.394,9314.715
9814.911,9667.32,9942.62,10127.753,10032.627,10062.222
10042.242,10068.752,10193.663,10127.602,10085.673,10125.619
9810.692,9544.484,9578.826,9589.313,9633.466,9635.647
10192.497,10211.138,10797.168,10777.43,10312.145,11050.943
9411.735,9307.416,9101.322,9083.446,9283.788,9302.234
4645.5796,4799.965,5141.7812,5466.809,5281.7104,5464.31
2900.6865,2045.2461,3081.1143,3488.7278,3959.5786,2654.0747
4838.028,4878.229,5123.1436,5150.5337,5208.905,5721.506
10790.945,11292.634,11499.039,11627.534,11394.66,11310.2295
9199.566,9101.157,8932.569,8971.798,9076.56,9061.297
3722.345,3727.0608,3731.2224,3731.74,3728.1794,3723.1619
1718.8267,1663.3323,1802.4689,1930.8496,1780.6454,1886.5901
2458.8098,2396.5237,2444.0854,2571.7058,2438.256,2492.4495
11156.764,9972.403,9438.448,9529.871,10574.438,9624.042
9869.315,10075.174,11068.182,11134.631,10950.663,10694.209
828.86035,895.98364,782.06244,961.4679,1085.9407,1121.1487
6055.543,5905.569,5812.202,6278.286,6477.7188,6263.69
8327.912,8229.849,8354.125,8669.398,8597.507,8684.192
2438.3545,2298.2622,2099.6765,2178.1106,2424.0344,2292.934
8244.434,8226.47,8151.6045,8206.481,8200.837,8236.419
6575.6807,6607.052,6652.4917,6658.8877,6655.1865,6729.64
6553.735,6563.019,6496.887,6494.553,6537.9844,6610.824
7187.0195,7096.1978,7148.3306,7295.01,7250.31,7106.4604
6329.2715,6361.274,6387.87,6342.681,6284.383,6401.2163
8611.901,8654.246,8696.045,8617.66,8691.814,8820.633
7983.852,8095.168,7953.9385,7890.311,7807.149,8172.4155
8292.631,8318.233,8592.607,8365.9,8555.275,8502.9375
1528.94,1615.4194,1839.1184,1758.0118,1763.781,1805.6552
8722.21,8811.74,8749.194,8776.143,8773.455,8931.031
3522.5632,3386.8894,3693.4001,3662.0903,3541.2834,3291.8232
1674.4438,1614.5038,1698.4126,1793.3188,1646.8928,1591.0117
2094.7314,2195.9539,2220.248,2162.7673,2119.3403,2243.0635
2002.5862,2063.984,1918.3162,1842.6672,1893.9271,1993.061
3240.518,3388.81,3458.4482,3490.1746,3647.4602,3580.2576
1300.0076,1557.2963,1618.3667,1456.179,1030.0835,1892.7836
2509.8323,2681.298,2603.4285,2584.708,2508.8008,2654.5425
2035.4233,2062.6274,2107.614,2117.9155,2092.1304,2136.183
2899.3467,2972.0476,2978.6611,2941.12,2955.4065,2973.6714
1434.4418,1430.6323,1384.8019,1344.5209,1383.4021,1424.5405
1851.5992,1838.1968,1830.0544,1828.0815,1844.0095,1829.9237
1986.3352,1978.9331,2049.9983,2004.8948,1897.1615,2117.387
1654.3317,1663.735,1664.0139,1661.9645,1651.8644,1647.2137
2317.9758,2331.016,2272.5903,2269.356,2288.4973,2255.5818
2231.578,2470.9097,2676.563,2542.6023,2246.9421,2218.298
1994.8081,1851.7178,1860.7,1917.3396,1977.9196,1915.2811
2493.4001,2470.553,2520.351,2555.3025,2557.4329,2506.061
1813.4734,1572.4119,1619.901,1676.831,1604.155,1599.4358
4105.8154,3875.2676,4134.7544,4258.279,4096.0767,3716.8872
2348.9272,2060.4932,2117.436,2114.9343,2114.197,2018.1125
2295.5208,2247.7546,2417.7441,2420.4773,2234.7444,2196.8271
2057.017,2101.6628,2128.026,2113.6677,2090.9932,2121.9678
7931.084,7893.4863,7943.6284,7980.933,7938.343,7902.174
4590.322,4940.0566,4773.275,4666.657,4667.333,5027.922
6952.284,6955.7354,7138.9854,7118.0317,7266.5103,7196.123
9285.662,9251.214,9241.149,9163.725,9173.178,9257.111
3198.8394,3270.9287,2873.4746,2658.5962,2957.116,3405.279
6888.001,6849.5723,6733.697,6853.746,6870.2295,6864.906
8240.714,8291.882,8284.232,8344.067,8271.532,8316.254
7296.062,7291.3735,7280.613,7273.8066,7299.731,7292.8384
5423.074,4696.4307,4847.6562,6235.0776,5718.566,6398.496
11458.631,11726.444,12277.873,12317.48,12577.5,13228.5625
9300.025,9661.842,10148.276,10108.605,10126.8125,10397.596
3438.7642,3459.1602,3571.4521,3536.0215,3581.168,3797.9578
3426.4426,3427.943,3634.719,3706.0625,3620.984,3847.7473
11201.371,10807.062,10657.561,10827.336,10773.858,10480.165
10826.732,11069.508,12115.908,12292.719,11916.906,12735.369
6276.075,6252.3457,6788.846,6837.1826,6547.8315,6394.7646
4578.6626,4676.425,4753.177,4729.3306,4695.859,5112.2666
4662.421,4389.7505,4403.764,4435.7197,4500.286,4432.772
4553.6865,4378.9346,4647.345,4976.8955,4779.909,4446.5356
5454.492,5527.662,6018.7783,6075.7314,5877.403,6213.1895
14337.034,14497.279,15983.95,16221.398,15837.316,17162.238
8071.8594,7509.883,7362.3164,8058.4097,8211.957,8369.129
2437.5059,2490.522,2709.2397,2734.4316,2699.2358,2925.9526
6969.4272,6640.2773,6763.768,7105.452,7302.0,7185.277
3028.589,3027.3547,3227.7214,3281.4924,3222.0774,3477.9023
9014.97,8792.881,9238.843,9281.0625,9157.422,8881.573
1992.78,1926.4443,2175.0178,2160.8662,2038.8514,2123.7415
6773.192,6455.342,6532.281,6546.2686,6709.9854,6434.6997
10452.721,10408.52,10809.914,11069.396,11217.907,11161.375
3398.041,3494.9683,3579.4458,3583.306,3523.64,3617.2947
12759.018,12834.998,13914.307,14071.758,14644.674,14678.425
3478.8513,3510.3315,3711.061,3738.3667,3725.67,3946.9548
3205.255,3222.3164,3332.1445,3337.248,3358.046,3584.87
3419.1802,3419.1145,3621.621,3695.917,3612.5242,3835.6758
5537.8184,5435.715,5944.256,6244.672,5974.227,5896.3037
3155.4497,3121.7495,3296.4446,3371.245,3315.0322,3344.6729
8874.624,8679.373,8551.198,8790.411,8756.463,8910.488
11230.149,10847.61,11694.792,12067.816,11604.223,10751.861
3170.6042,3278.3184,3435.8687,3518.2695,3262.539,3647.0103
6853.852,6497.3345,6510.8574,6586.3525,6602.977,6385.006
10288.854,9727.975,11237.549,11635.888,10982.943,11014.018
16384.125,15719.35,17140.926,18341.629,17613.254,16385.783
14174.633,13833.73,14624.318,14996.68,14646.523,15207.428
3475.7656,3506.9275,3747.1733,3841.6116,3812.1626,3943.4517
9300.768,9480.307,9920.195,10116.758,10238.43,10789.402
6821.203,6891.5073,7367.095,7499.9434,7416.6255,7730.2
3191.608,3192.7107,3214.3037,3166.2368,3269.2495,3375.831
2263.8367,2318.7417,2409.625,2289.6262,2198.1296,2339.6587
18273.479,18322.373,18938.996,18594.406,18440.18,18947.986
3283.5747,3269.4875,3410.2607,3402.5457,3443.016,3713.6646
3392.1646,3460.8347,3512.0742,3480.9507,3435.5125,3468.1448
1153.1985,1152.392,1147.9364,1161.4865,1148.2717,1152.2642
4042.406,3928.149,4091.7656,4185.4824,4110.7705,4396.6147
1542.452,1402.2756,1500.568,1663.802,1616.283,1315.7074
1925.6094,1881.0378,1867.3196,1909.6583,1847.1289,1893.5133
4079.245,3776.615,3721.3828,4207.5166,4097.494,3704.706
9267.105,9351.333,9531.691,9687.094,9883.535,10304.415
2339.2285,2192.556,2283.0103,2642.4385,2483.964,2657.894
12127.3,12235.056,12836.532,12922.781,12786.471,13318.148
2057.3748,2063.1152,2101.4277,2113.5232,2112.0933,2159.9473
1306.2219,1287.719,1258.2725,1250.8889,1258.0477,1248.4451
2056.8035,2053.4858,2074.7327,2084.5347,2074.6794,2107.2627
4614.6465,4613.428,4652.4404,4664.271,4650.438,4712.6846
2208.0046,2203.3748,2195.8035,2192.766,2192.213,2189.2927
10186.14,10208.213,10439.187,10495.375,10458.157,10733.547
9443.399,8496.68,5523.0913,6525.976,8404.916,6389.2974
3724.5989,3410.885,3338.6177,3242.1958,3166.1877,3339.4907
5555.17,5305.359,5264.34,5234.5605,5338.2896,5291.643
